car_trip_id,transit_trip_id,car_trip_sequence,car_pos_sequence,car_destination_time,transit_trip_sequence,transit_pos_sequence,transit_destination_time,car_arrival_time_transit_stop,integration_distance,shared_distance,destinations_distance
6027174_2_5,6047412_1_6,1,1,2010-05-26 20:40:23.000001,2,2,2010-05-26 21:09:52.999997,2010-05-26 20:36:15.000001,1580.545,1045.979,10295.559
6027174_2_3,6038133_2_2,1,1,2010-05-26 13:24:46.000001,1,3,2010-05-26 13:29:14.000000,2010-05-26 13:19:47.999998,29184.13,1538.653,952.343
6027174_2_3,6038133_2_2,1,1,2010-05-26 13:24:46.000001,2,1,2010-05-26 13:29:14.000000,2010-05-26 13:19:47.999998,29184.13,1538.653,952.343
6027174_2_3,6038133_2_2,1,1,2010-05-26 13:22:49.000001,2,2,2010-05-26 13:27:14.000000,2010-05-26 13:19:30.999999,29263.551,923.175,952.343
6027174_2_3,6066571_2_1,1,1,2010-05-26 13:26:01.999999,1,4,2010-05-26 13:45:14.000000,2010-05-26 13:15:57.000000,27842.648,2406.062,3842.872
6027174_2_3,6026413_1_2,1,1,2010-05-26 13:24:46.000001,2,5,2010-05-26 13:29:56.000001,2010-05-26 13:19:47.999998,29184.13,1538.653,1194.911
6027174_2_3,6026413_1_2,1,1,2010-05-26 13:22:49.000001,2,6,2010-05-26 13:27:56.000001,2010-05-26 13:19:30.999999,29263.551,923.175,1194.911
6027174_2_3,6026413_1_2,1,1,2010-05-26 13:22:49.000001,3,1,2010-05-26 13:27:56.000001,2010-05-26 13:19:30.999999,29263.551,923.175,1194.911
6027174_2_3,6026413_1_2,1,1,2010-05-26 13:20:56.000000,3,2,2010-05-26 13:25:56.000001,2010-05-26 13:18:46.000000,29108.834,752.656,1194.911
6027174_2_3,6115622_2_2,1,1,2010-05-26 13:24:46.000001,1,3,2010-05-26 13:29:14.000000,2010-05-26 13:19:47.999998,29184.13,1538.653,952.343
6027174_2_3,6115622_2_2,1,1,2010-05-26 13:24:46.000001,2,1,2010-05-26 13:29:14.000000,2010-05-26 13:19:47.999998,29184.13,1538.653,952.343
6027174_2_3,6115622_2_2,1,1,2010-05-26 13:22:49.000001,2,2,2010-05-26 13:27:14.000000,2010-05-26 13:19:30.999999,29263.551,923.175,952.343
6027174_2_3,6023565_1_2,1,1,2010-05-26 13:26:30.000000,1,1,2010-05-26 14:03:57.999998,2010-05-26 13:12:38.000001,25558.377,5329.712,15628.005
6027174_2_3,6023565_1_2,1,1,2010-05-26 13:25:23.999998,1,2,2010-05-26 14:02:57.999998,2010-05-26 13:11:48.000001,25371.427,5320.836,15628.005
6027174_2_3,6023565_1_2,1,1,2010-05-26 13:25:39.000001,1,3,2010-05-26 14:02:57.999998,2010-05-26 13:11:19.000000,25205.484,5408.611,15628.005
6027174_2_3,6023565_1_2,1,1,2010-05-26 13:25:39.000001,2,1,2010-05-26 14:02:57.999998,2010-05-26 13:11:19.000000,25205.484,5408.611,15628.005
6027174_2_3,6023565_1_2,1,1,2010-05-26 13:26:16.000002,2,2,2010-05-26 14:03:57.999998,2010-05-26 13:10:35.000000,25285.426,5809.093,15628.005
6027174_2_3,6023565_1_2,1,1,2010-05-26 13:29:47.000001,2,3,2010-05-26 14:06:57.999998,2010-05-26 13:12:17.000000,24530.84,6632.116,15628.005
6027174_2_3,6023565_1_2,1,1,2010-05-26 13:51:26.000001,2,10,2010-05-26 13:14:39.999999,2010-05-26 13:05:56.000001,13146.224,2722.739,15590.146
6027174_2_3,6023565_1_2,1,1,2010-05-26 13:51:26.000001,3,1,2010-05-26 13:14:40.000000,2010-05-26 13:05:55.999999,13146.215,2722.73,15590.146
6027174_2_3,6023565_1_2,1,1,2010-05-26 13:52:26.000001,3,2,2010-05-26 13:15:23.999999,2010-05-26 13:05:40.000000,13051.819,2628.334,15590.146
6027174_2_3,6023565_1_2,1,1,2010-05-26 13:53:26.000001,3,3,2010-05-26 13:16:24.000001,2010-05-26 13:05:28.000001,13027.603,2641.638,15590.146
6027174_2_3,6023565_1_2,1,1,2010-05-26 13:53:26.000001,3,4,2010-05-26 13:16:30.000001,2010-05-26 13:05:26.999999,13017.641,2651.6,15590.146
6027174_2_3,6023565_1_2,1,1,2010-05-26 13:58:26.000001,4,1,2010-05-26 13:21:30.000001,2010-05-26 13:05:26.999999,13017.641,2651.6,15590.146
6027174_2_3,6023565_1_2,1,1,2010-05-26 13:56:26.000001,4,2,2010-05-26 13:19:28.000000,2010-05-26 13:07:13.999998,13224.278,1797.438,15590.146
6027174_2_3,6023565_1_2,1,1,2010-05-26 13:56:26.000001,4,3,2010-05-26 13:19:44.000001,2010-05-26 13:04:48.000000,13741.335,1181.28,15590.146
6027174_2_3,6023565_1_2,1,1,2010-05-26 13:56:26.000001,4,4,2010-05-26 13:19:33.000000,2010-05-26 13:03:38.999998,13363.227,577.109,15590.146
6027174_2_3,6023565_1_2,1,1,2010-05-26 13:58:26.000001,5,1,2010-05-26 13:21:33.000000,2010-05-26 13:03:38.999998,13363.227,577.108,15590.146
6027174_2_3,6026618_1_1,1,1,2010-05-26 13:26:01.999999,1,4,2010-05-26 13:45:14.000000,2010-05-26 13:15:57.000000,27842.648,2406.062,3842.872
6027174_2_3,6036575_1_4,1,1,2010-05-26 13:31:04.000000,2,5,2010-05-26 13:21:56.000001,2010-05-26 13:09:17.000000,26596.73,2167.224,2253.481
6027174_2_3,6036575_1_4,1,1,2010-05-26 13:30:04.000000,2,6,2010-05-26 13:20:37.000000,2010-05-26 13:09:25.000002,26598.903,1337.375,2253.481
6027174_2_3,6036575_1_4,1,1,2010-05-26 13:29:04.000000,2,7,2010-05-26 13:19:39.000000,2010-05-26 13:11:11.000001,26974.624,955.452,2253.481
6027174_2_3,6036575_1_4,1,1,2010-05-26 13:28:04.000000,2,8,2010-05-26 13:18:43.999999,2010-05-26 13:13:06.000001,27380.959,548.28,2253.481
6120299_2_5,6096916_1_4,1,1,2010-09-29 22:24:28.999998,1,1,2010-09-29 23:03:28.000000,2010-09-29 22:07:49.000000,1806.423,14945.508,41441.767
6120299_2_5,6096916_1_4,1,1,2010-09-29 22:24:28.999999,1,2,2010-09-29 23:03:28.000000,2010-09-29 22:07:33.000001,1806.327,14945.605,41441.767
6120299_2_5,6096916_1_4,1,1,2010-09-29 22:26:13.000000,1,3,2010-09-29 23:05:28.000000,2010-09-29 22:08:10.999999,2002.897,15136.044,41441.767
6120299_2_5,6096916_1_4,1,1,2010-09-29 22:25:44.999998,1,4,2010-09-29 23:04:28.000000,2010-09-29 22:08:29.000001,2079.496,15059.445,41441.767
6120299_2_5,6096916_1_4,1,1,2010-09-29 22:25:43.999999,1,5,2010-09-29 23:04:28.000000,2010-09-29 22:08:44.999999,2081.736,15057.205,41441.767
6120299_2_5,6096916_1_4,1,1,2010-09-29 22:25:43.999999,2,1,2010-09-29 23:04:28.000000,2010-09-29 22:08:44.999999,2081.736,15057.205,41441.767
6120299_2_5,6096916_1_4,1,1,2010-09-29 22:31:29.999998,2,2,2010-09-29 23:10:28.000000,2010-09-29 22:12:57.999999,3151.473,15621.369,41441.767
6120299_2_5,6096916_1_4,1,1,2010-09-29 22:35:54.000001,2,3,2010-09-29 23:14:28.000000,2010-09-29 22:14:26.999999,3550.493,17326.281,41441.767
6120299_2_5,6096916_2_4,1,1,2010-09-29 22:24:28.999998,1,1,2010-09-29 23:03:28.000000,2010-09-29 22:07:49.000000,1806.423,14945.508,41441.767
6120299_2_5,6096916_2_4,1,1,2010-09-29 22:24:28.999999,1,2,2010-09-29 23:03:28.000000,2010-09-29 22:07:33.000001,1806.327,14945.605,41441.767
6120299_2_5,6096916_2_4,1,1,2010-09-29 22:26:13.000000,1,3,2010-09-29 23:05:28.000000,2010-09-29 22:08:10.999999,2002.897,15136.044,41441.767
6120299_2_5,6096916_2_4,1,1,2010-09-29 22:25:44.999998,1,4,2010-09-29 23:04:28.000000,2010-09-29 22:08:29.000001,2079.496,15059.445,41441.767
6120299_2_5,6096916_2_4,1,1,2010-09-29 22:25:43.999999,1,5,2010-09-29 23:04:28.000000,2010-09-29 22:08:44.999999,2081.736,15057.205,41441.767
6120299_2_5,6096916_2_4,1,1,2010-09-29 22:25:43.999999,2,1,2010-09-29 23:04:28.000000,2010-09-29 22:08:44.999999,2081.736,15057.205,41441.767
6120299_2_5,6096916_2_4,1,1,2010-09-29 22:31:29.999998,2,2,2010-09-29 23:10:28.000000,2010-09-29 22:12:57.999999,3151.473,15621.369,41441.767
6120299_2_5,6096916_2_4,1,1,2010-09-29 22:35:54.000001,2,3,2010-09-29 23:14:28.000000,2010-09-29 22:14:26.999999,3550.493,17326.281,41441.767
6028743_2_2,6086452_1_1,1,1,2010-06-23 09:01:14.000001,2,6,2010-06-23 09:14:58.000000,2010-06-23 08:51:40.000000,1745.215,2769.631,8614.844
