transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_private_cost,taxi_shared_cost,transit_shared_cost
6010079_1_2,10:609,6005839_3_2,9,16.7396157435,15.0203890643,42.0442457071
6029412_1_4,3:629,6005839_3_4,6,60.7783391752,47.3078918884,17.372216175
6029412_1_4,3:629,6005839_3_4,9,60.7783391752,48.0438953244,16.516212739
6029412_1_4,3:629,6005839_3_4,10,60.7783391752,51.2701284463,13.2833129571
6029412_1_4,3:629,6005839_3_4,11,60.7783391752,53.9522173376,10.6012240659
6029412_1_4,3:629,6005839_3_4,13,60.7783391752,55.3994804954,9.15396090806
6029412_2_2,10:628,6005839_3_4,6,60.7783391752,48.1468630382,18.6435994037
6029412_2_2,10:628,6005839_3_4,9,60.7783391752,48.9428664742,17.8475959678
6029412_2_2,10:628,6005839_3_4,10,60.7783391752,52.1724329261,14.6180295158
6029412_2_2,10:628,6005839_3_4,11,60.7783391752,54.8545218174,11.9359406246
6029412_2_2,10:628,6005839_3_4,13,60.7783391752,56.3017849752,10.4886774668
6029412_2_2,10:629,6005839_3_4,1,60.7783391752,45.8578270333,18.9619510684
6029412_2_2,10:629,6005839_3_4,6,60.7783391752,47.2248541981,17.7215905636
6029412_2_2,10:629,6005839_3_4,9,60.7783391752,47.9608576341,16.8655871276
6029412_2_2,10:629,6005839_3_4,10,60.7783391752,51.187090756,13.6326873457
6029412_2_2,10:629,6005839_3_4,11,60.7783391752,53.8691796473,10.9505984545
6029412_2_2,10:629,6005839_3_4,13,60.7783391752,55.3164428051,9.50333529666
6030582_1_4,3:626,6073513_1_6,1,29.8408549602,23.5950920832,9.67147440569
6030582_1_4,3:626,6073513_1_6,3,29.8408549602,24.0771128693,9.18945361958
6030582_1_4,3:626,6073513_1_6,5,29.8408549602,26.2080379164,7.05852857246
6030582_1_4,3:626,6073513_1_6,6,29.8408549602,27.0527793635,6.21378712538
6030582_1_4,3:626,6073513_1_6,7,29.8408549602,27.4901725077,5.7763939812
6032078_1_4,10:632,6005839_3_4,6,60.7783391752,47.4847324307,21.7898050524
6032078_1_4,10:632,6005839_3_4,9,60.7783391752,48.2807358667,20.9938016165
6032078_1_4,10:632,6005839_3_4,13,60.7783391752,55.6396543677,13.6348831155
6032078_1_4,10:631,6005839_3_4,1,60.7783391752,45.4507125212,22.3631728126
6032078_1_4,10:631,6005839_3_4,6,60.7783391752,46.754406356,21.0594789777
6032078_1_4,10:631,6005839_3_4,9,60.7783391752,47.550409792,20.2634755418
6032078_1_4,10:631,6005839_3_4,10,60.7783391752,50.7799762439,17.0339090898
6032078_1_4,10:631,6005839_3_4,11,60.7783391752,53.4620651352,14.3518201986
6032078_1_4,10:631,6005839_3_4,13,60.7783391752,54.909328293,12.9045570408
6032078_1_4,10:630,6005839_3_4,1,60.7783391752,43.4947849655,20.4072452569
6032078_1_4,10:630,6005839_3_4,6,60.7783391752,44.7984788004,19.1035514221
6032078_1_4,10:630,6005839_3_4,9,60.7783391752,45.5944822363,18.3075479861
6032078_1_4,10:630,6005839_3_4,10,60.7783391752,48.8240486883,15.0779815342
6032078_1_4,10:630,6005839_3_4,11,60.7783391752,51.5061375795,12.3958926429
6032078_1_4,10:630,6005839_3_4,13,60.7783391752,52.9534007373,10.9486294851
6032078_1_4,10:629,6005839_3_4,1,60.7783391752,43.7242634895,20.6367237809
6032078_1_4,10:629,6005839_3_4,6,60.7783391752,45.0279573244,19.3330299461
6032078_1_4,10:629,6005839_3_4,9,60.7783391752,45.8239607603,18.5370265101
6032078_1_4,10:629,6005839_3_4,10,60.7783391752,49.0535272123,15.3074600582
6032078_1_4,10:629,6005839_3_4,11,60.7783391752,51.7356161035,12.6253711669
6032078_1_4,10:629,6005839_3_4,13,60.7783391752,53.1828792613,11.1781080091
6032078_1_4,10:628,6005839_3_4,1,60.7783391752,43.5982564412,20.5107167325
6032078_1_4,10:628,6005839_3_4,6,60.7783391752,44.901950276,19.2070228977
6032078_1_4,10:628,6005839_3_4,9,60.7783391752,45.697953712,18.4110194617
6032078_1_4,10:628,6005839_3_4,10,60.7783391752,48.9275201639,15.1814530098
6032078_1_4,10:628,6005839_3_4,11,60.7783391752,51.6096090552,12.4993641185
6032078_1_4,10:628,6005839_3_4,13,60.7783391752,53.056872213,11.0521009607
6032078_1_4,10:627,6005839_3_4,1,60.7783391752,43.6001570597,20.5126173511
6032078_1_4,10:627,6005839_3_4,6,60.7783391752,44.9038508945,19.2089235162
6032078_1_4,10:627,6005839_3_4,9,60.7783391752,45.6998543305,18.4129200803
6032078_1_4,10:627,6005839_3_4,10,60.7783391752,48.9294207825,15.1833536283
6032078_1_4,10:627,6005839_3_4,11,60.7783391752,51.6115096737,12.5012647371
6032078_1_4,10:627,6005839_3_4,13,60.7783391752,53.0587728315,11.0540015793
6032078_1_4,10:626,6005839_3_4,1,60.7783391752,45.259602103,22.1720623944
6032078_1_4,10:626,6005839_3_4,6,60.7783391752,46.5632959378,20.8683685596
6032078_1_4,10:626,6005839_3_4,9,60.7783391752,47.3592993738,20.0723651236
6032078_1_4,10:626,6005839_3_4,10,60.7783391752,50.5888658258,16.8427986716
6032078_1_4,10:626,6005839_3_4,11,60.7783391752,53.270954717,14.1607097804
6032078_1_4,10:626,6005839_3_4,13,60.7783391752,54.7182178748,12.7134466226
6037069_1_3,10:G21,6005839_3_4,6,60.7783391752,45.5165794006,18.6591538733
6037069_1_3,10:G21,6005839_3_4,9,60.7783391752,46.3125828366,17.8631504373
6037069_1_3,10:G21,6005839_3_4,10,60.7783391752,49.5421492886,14.6335839854
6037069_1_3,10:G21,6005839_3_4,11,60.7783391752,52.2242381798,11.9514950941
6037069_1_3,10:G20,6005839_3_4,6,60.7783391752,45.5165794006,18.6591538733
6037069_1_3,10:G20,6005839_3_4,9,60.7783391752,46.3125828366,17.8631504373
6037069_1_3,10:G20,6005839_3_4,10,60.7783391752,49.5421492886,14.6335839854
6037069_1_3,10:G20,6005839_3_4,11,60.7783391752,52.2242381798,11.9514950941
6037069_1_3,10:G19,6005839_3_4,6,60.7783391752,45.3381620386,18.4807365112
6037069_1_3,10:G19,6005839_3_4,9,60.7783391752,46.1341654745,17.6847330752
6037069_1_3,10:G19,6005839_3_4,10,60.7783391752,49.3637319265,14.4551666233
6037069_1_3,10:G19,6005839_3_4,11,60.7783391752,52.0458208177,11.773077732
6044009_1_3,10:F09,6042911_1_3,1,11.6626387441,6.97971395282,24.5584626527
6044009_1_3,10:F09,6042911_1_3,2,11.6626387441,8.24190253498,23.2962740706
6044009_1_3,10:F09,6042911_1_3,3,11.6626387441,8.75170870207,22.7864679035
6044009_1_3,10:G21,6042911_1_3,1,11.6626387441,6.11812876571,23.6968774656
6044009_1_3,10:G21,6042911_1_3,2,11.6626387441,7.67698401454,22.7313555501
6044009_1_3,10:G21,6042911_1_3,3,11.6626387441,8.16012351497,22.1948827164
6065158_2_1,10:237,6069496_1_3,1,41.6413739143,24.2034361182,19.7310453346
6065158_2_1,10:237,6069496_1_3,6,41.6413739143,25.1330622808,18.8014191719
6065158_2_1,10:237,6069496_1_3,7,41.6413739143,25.8523442627,18.08213719
6065158_2_1,10:237,6069496_1_3,8,41.6413739143,26.7296742886,17.2048071641
6065158_2_1,10:236,6069496_1_3,1,41.6413739143,24.2034361182,19.7310453346
