transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_private_cost,taxi_shared_cost,transit_shared_cost
6010079_1_2,10:609,6005839_3_2,9,16.7396157435,13.5203890643,43.5442457071
6029412_1_4,3:629,6005839_3_4,6,60.7783391752,45.5578918884,19.122216175
6029412_1_4,3:629,6005839_3_4,9,60.7783391752,46.2938953244,18.266212739
6029412_1_4,3:629,6005839_3_4,10,60.7783391752,49.5201284463,15.0333129571
6029412_1_4,3:629,6005839_3_4,11,60.7783391752,52.2022173376,12.3512240659
6029412_1_4,3:629,6005839_3_4,13,60.7783391752,53.6494804954,10.9039609081
6029412_2_2,10:628,6005839_3_4,6,60.7783391752,46.3968630382,20.3935994037
6029412_2_2,10:628,6005839_3_4,9,60.7783391752,47.1928664742,19.5975959678
6029412_2_2,10:628,6005839_3_4,10,60.7783391752,50.4224329261,16.3680295158
6029412_2_2,10:628,6005839_3_4,11,60.7783391752,53.1045218174,13.6859406246
6029412_2_2,10:628,6005839_3_4,13,60.7783391752,54.5517849752,12.2386774668
6029412_2_2,10:629,6005839_3_4,1,60.7783391752,44.1078270333,20.7119510684
6029412_2_2,10:629,6005839_3_4,6,60.7783391752,45.4748541981,19.4715905636
6029412_2_2,10:629,6005839_3_4,9,60.7783391752,46.2108576341,18.6155871276
6029412_2_2,10:629,6005839_3_4,10,60.7783391752,49.437090756,15.3826873457
6029412_2_2,10:629,6005839_3_4,11,60.7783391752,52.1191796473,12.7005984545
6029412_2_2,10:629,6005839_3_4,13,60.7783391752,53.5664428051,11.2533352967
6030582_1_4,3:626,6073513_1_6,1,29.8408549602,21.8450920832,11.4214744057
6030582_1_4,3:626,6073513_1_6,3,29.8408549602,22.3271128693,10.9394536196
6030582_1_4,3:626,6073513_1_6,5,29.8408549602,24.4580379164,8.80852857246
6030582_1_4,3:626,6073513_1_6,6,29.8408549602,25.3027793635,7.96378712538
6030582_1_4,3:626,6073513_1_6,7,29.8408549602,25.7401725077,7.5263939812
6032078_1_4,10:632,6005839_3_4,6,60.7783391752,45.7347324307,23.5398050524
6032078_1_4,10:632,6005839_3_4,9,60.7783391752,46.5307358667,22.7438016165
6032078_1_4,10:632,6005839_3_4,13,60.7783391752,53.8896543677,15.3848831155
6032078_1_4,10:631,6005839_3_4,1,60.7783391752,43.7007125212,24.1131728126
6032078_1_4,10:631,6005839_3_4,6,60.7783391752,45.004406356,22.8094789777
6032078_1_4,10:631,6005839_3_4,9,60.7783391752,45.800409792,22.0134755418
6032078_1_4,10:631,6005839_3_4,10,60.7783391752,49.0299762439,18.7839090898
6032078_1_4,10:631,6005839_3_4,11,60.7783391752,51.7120651352,16.1018201986
6032078_1_4,10:631,6005839_3_4,13,60.7783391752,53.159328293,14.6545570408
6032078_1_4,10:630,6005839_3_4,1,60.7783391752,41.7447849655,22.1572452569
6032078_1_4,10:630,6005839_3_4,6,60.7783391752,43.0484788004,20.8535514221
6032078_1_4,10:630,6005839_3_4,9,60.7783391752,43.8444822363,20.0575479861
6032078_1_4,10:630,6005839_3_4,10,60.7783391752,47.0740486883,16.8279815342
6032078_1_4,10:630,6005839_3_4,11,60.7783391752,49.7561375795,14.1458926429
6032078_1_4,10:630,6005839_3_4,13,60.7783391752,51.2034007373,12.6986294851
6032078_1_4,10:629,6005839_3_4,1,60.7783391752,41.9742634895,22.3867237809
6032078_1_4,10:629,6005839_3_4,6,60.7783391752,43.2779573244,21.0830299461
6032078_1_4,10:629,6005839_3_4,9,60.7783391752,44.0739607603,20.2870265101
6032078_1_4,10:629,6005839_3_4,10,60.7783391752,47.3035272123,17.0574600582
6032078_1_4,10:629,6005839_3_4,11,60.7783391752,49.9856161035,14.3753711669
6032078_1_4,10:629,6005839_3_4,13,60.7783391752,51.4328792613,12.9281080091
6032078_1_4,10:628,6005839_3_4,1,60.7783391752,41.8482564412,22.2607167325
6032078_1_4,10:628,6005839_3_4,6,60.7783391752,43.151950276,20.9570228977
6032078_1_4,10:628,6005839_3_4,9,60.7783391752,43.947953712,20.1610194617
6032078_1_4,10:628,6005839_3_4,10,60.7783391752,47.1775201639,16.9314530098
6032078_1_4,10:628,6005839_3_4,11,60.7783391752,49.8596090552,14.2493641185
6032078_1_4,10:628,6005839_3_4,13,60.7783391752,51.306872213,12.8021009607
