transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_private_cost,taxi_shared_cost,transit_shared_cost
6030582_1_4,3:626,6073513_1_6,1,29.8408549602,21.8450920832,11.4214744057
6030582_1_4,3:626,6073513_1_6,3,29.8408549602,22.3271128693,10.9394536196
6030582_1_4,3:626,6073513_1_6,5,29.8408549602,24.4580379164,8.80852857246
6030582_1_4,3:626,6073513_1_6,6,29.8408549602,25.3027793635,7.96378712538
6030582_1_4,3:626,6073513_1_6,7,29.8408549602,25.7401725077,7.5263939812
6044009_1_3,10:F09,6042911_1_3,1,11.6626387441,5.47971395282,26.0584626527
6044009_1_3,10:F09,6042911_1_3,2,11.6626387441,6.74190253498,24.7962740706
6044009_1_3,10:F09,6042911_1_3,3,11.6626387441,7.25170870207,24.2864679035
6044009_1_3,10:G21,6042911_1_3,1,11.6626387441,4.61812876571,25.1968774656
6044009_1_3,10:G21,6042911_1_3,2,11.6626387441,6.17698401454,24.2313555501
6044009_1_3,10:G21,6042911_1_3,3,11.6626387441,6.66012351497,23.6948827164
6057248_1_1,3:G29,6076464_2_1,11,18.8616909142,18.0839870979,43.9716364161
6073241_2_4,10:R05,6073513_1_6,1,29.8408549602,16.9625069049,9.44338388727
6073241_2_4,10:R05,6073513_1_6,3,29.8408549602,17.9002926186,9.41712802873
6073241_2_4,10:R05,6073513_1_6,5,29.8408549602,24.4093723603,11.6643576762
6073241_2_4,10:R05,6073513_1_6,8,29.8408549602,27.656227463,11.2590286085
6073241_2_4,10:R06,6073513_1_6,1,29.8408549602,16.9591735716,9.44005055394
6073241_2_4,10:R06,6073513_1_6,3,29.8408549602,17.8969592819,9.41379469206
6073241_2_4,10:R06,6073513_1_6,5,29.8408549602,24.4060390303,11.6610243462
6073241_2_4,10:R08,6073513_1_6,1,29.8408549602,16.9691735716,9.45005055394
6073241_2_4,10:R08,6073513_1_6,3,29.8408549602,17.9069592819,9.42379469206
6073241_2_4,10:R09,6073513_1_6,1,29.8408549602,20.4124916803,12.8933686627
6073241_2_4,10:R09,6073513_1_6,3,29.8408549602,21.2353013657,12.7521367758
6087484_1_2,3:220,6086311_1_3,1,6.64364187263,1.82182093631,23.7672192273
6087484_1_2,3:220,6086311_1_3,3,6.64364187263,2.26614392057,23.3228962431
6087484_1_2,3:219,6086311_1_3,1,6.64364187263,2.22671548863,24.1721137796
6087484_1_2,3:219,6086311_1_3,3,6.64364187263,2.883852771,23.9406050935
6087484_1_2,3:218,6086311_1_3,1,6.64364187263,2.96348101093,24.9088793019
