transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_private_cost,taxi_shared_cost,transit_shared_cost
6030582_1_4,10:125,6081235_1_2,1,74.102953655225,30.86203804282568,61.27066692315599
6030582_1_4,10:126,6081235_1_2,1,74.102953655225,31.0352161121628,67.39905913549971
6030582_1_4,10:126,6081235_1_2,3,74.102953655225,31.44510244965304,68.2892077137953
6030582_1_4,10:127,6081235_1_2,1,74.102953655225,25.52154925996024,74.08111648287394
6030582_1_4,10:127,6081235_1_2,3,74.102953655225,25.94857412366476,75.32063679361025
6030582_1_4,10:127,6081235_1_2,5,74.102953655225,26.28544096415744,76.29845641559173
6030582_1_4,10:725,6081235_1_2,1,74.102953655225,14.062192863313554,87.74674690809228
6030582_1_4,10:725,6081235_1_2,3,74.102953655225,14.292381682792781,89.1831032630539
6030582_1_4,10:725,6081235_1_2,5,74.102953655225,14.473970594646783,90.31620081367406
6030582_1_4,10:724,6081235_1_2,1,74.102953655225,15.887376107975417,84.78772197052542
6030582_1_4,10:724,6081235_1_2,3,74.102953655225,16.15037093482552,86.19127231811613
6030582_1_4,10:724,6081235_1_2,5,74.102953655225,16.308726616038943,87.03638465006607
6030582_1_4,10:723,6081235_1_2,3,74.102953655225,18.15721529936232,84.14073669298602
6030582_1_4,10:723,6081235_1_2,5,74.102953655225,18.379155365643246,85.16920941695176
6030582_1_4,10:723,6081235_1_2,8,74.102953655225,18.468617493672546,85.58377790856247
6030582_1_4,3:631,6081235_1_2,3,74.102953655225,16.246316089778073,86.70331225896277
6030582_1_4,3:631,6081235_1_2,5,74.102953655225,16.44364173105415,87.75639940793337
6030582_1_4,3:631,6081235_1_2,8,74.102953655225,16.523181997544164,88.18088976775002
6030582_1_4,3:629,6081235_1_2,3,74.102953655225,9.729801379530297,88.79655877912637
6087484_1_2,3:217,6086311_1_3,1,6.643641872625,3.862217117579195,25.40480649351663
6090174_1_4,3:F26,6088818_1_2,14,20.759476008664997,20.003000264589524,8.699717552612974
6090174_1_4,3:F26,6088818_1_2,17,20.759476008664997,19.74398937299314,10.003621257526852
6090174_1_4,3:F27,6088818_1_2,15,20.759476008664997,19.524130899982346,4.008954862440986
6095558_1_4,11:A34,6119629_1_3,1,33.685467011362505,4.674465196132756,52.13826732534224
6096067_1_5,6:308032,6118830_1_2,9,71.4831401190175,33.32659383573584,70.53320654965917
6096067_1_5,6:306959,6118830_1_2,8,71.4831401190175,29.16744029333295,74.68527424625873
6096067_1_5,6:200200,6118830_1_2,7,71.4831401190175,13.011609092791256,94.74751702647625
6096067_1_5,6:200201,6118830_1_2,7,71.4831401190175,10.902546178507604,97.32868902694238
6096067_1_5,6:203464,6118830_1_2,7,71.4831401190175,10.96001400510759,97.84171306120241
6103503_1_1,5:A33,6119629_1_3,1,33.685467011362505,16.99894779320333,21.86984768235001
6003697_2_2,10:406,6055122_1_3,1,27.401161498625,21.4160267184511,19.3613525683414
6003697_2_2,10:406,6055122_1_3,2,27.401161498625,23.786804583962287,16.99057470283021
6017115_1_4,3:R31,6089061_1_3,2,25.7456318693325,20.05038998648001,6.38823521116749
6053986_1_2,10:108,6055122_1_3,1,27.401161498625,9.636839852163808,31.45910547233619
6053986_1_2,10:107,6055122_1_3,1,27.401161498625,13.516709730744184,25.017114801470807
6053986_1_2,10:107,6055122_1_3,2,27.401161498625,15.75704836633808,22.776776165876914
6053986_1_2,10:106,6055122_1_3,1,27.401161498625,13.36683470037047,24.739721788272863
6053986_1_2,10:106,6055122_1_3,2,27.401161498625,13.44634374407848,24.886879411231515
6053986_1_2,10:104,6055122_1_3,2,27.401161498625,19.22727925920066,17.382595707782663
6053986_1_2,10:103,6055122_1_3,3,27.401161498625,13.017223547420624,24.092651419562703
6056696_1_1,10:A41,6088357_1_1,3,31.561027524057508,23.05821517220083,13.898979572623334
6056696_1_1,10:A41,6088357_1_1,5,31.561027524057508,23.41649714020416,14.11494397911917
6056696_1_1,10:A41,6088357_1_1,7,31.561027524057508,23.783071900367855,14.335907096398822
6056696_2_1,3:A41,6088357_1_1,3,31.561027524057508,23.05821517220083,13.898979572623334
6056696_2_1,3:A41,6088357_1_1,5,31.561027524057508,23.41649714020416,14.11494397911917
6056696_2_1,3:A41,6088357_1_1,7,31.561027524057508,23.783071900367855,14.335907096398822
6060629_1_1,10:R31,6088357_1_1,2,31.561027524057508,22.74334037423015,15.03854262207651
6060629_1_1,10:R31,6088357_1_1,3,31.561027524057508,22.76599372006214,15.053521657751192
6062003_2_2,10:631,6089061_1_4,1,23.906602063175,18.958780740104963,15.236964823315866
6062003_2_2,10:631,6089061_1_4,3,23.906602063175,19.450171428709503,15.631890147861334
6062003_2_2,10:631,6089061_1_4,4,23.906602063175,19.957405743843367,16.0395488218458
6068416_1_2,10:629,6069024_1_1,14,32.3777637801675,15.253702730091256,22.098603486753753
6068416_1_2,10:628,6069024_1_1,14,32.3777637801675,17.612473181582445,18.989488717075055
6068416_2_2,10:629,6069024_1_1,14,32.3777637801675,15.253702730091256,22.098603486753753
6068416_2_2,10:628,6069024_1_1,14,32.3777637801675,17.612473181582445,18.989488717075055
6071203_1_1,3:123,6068298_1_2,1,31.384353107627497,23.72261481139347,11.114791543884857
6071203_1_1,3:123,6068298_1_2,6,31.384353107627497,24.221087856471975,11.348341851485525
6076683_2_1,3:G21,6079358_1_2,1,35.2356509547425,16.508947978719537,15.14210099627296
6076683_2_1,3:G19,6079358_1_2,4,35.2356509547425,11.72034617508186,25.001753126709804
6083339_1_4,1:100923,6054507_1_3,10,28.078513365442493,13.414417472923919,25.116355996715246
6088184_1_2,10:G30,6089061_1_3,12,25.7456318693325,21.17063627497081,15.09603383208669
6088184_1_2,10:G31,6089061_1_3,8,25.7456318693325,20.252444457495166,14.441303640659006
6088551_1_1,3:A41,6088357_1_1,3,31.561027524057508,19.80735287769244,18.416200919665055
6088551_1_1,3:A41,6088357_1_1,5,31.561027524057508,20.080743402800305,18.670390102389693
6088551_1_1,3:A41,6088357_1_1,7,31.561027524057508,19.273083786177892,20.585587603122107
6088551_1_1,3:F18,6088357_1_1,4,31.561027524057508,19.747937129470998,18.360958184111503
6088551_1_1,3:F18,6088357_1_1,6,31.561027524057508,21.06886937451611,17.04002593906639
