transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_private_cost,taxi_shared_cost,transit_shared_cost,detour_factor
6029412_1_4,3:629,6005839_3_4,6,60.77833917518003,59.104236678642415,5.575871384777587,0.08620689655172414
6029412_1_4,3:629,6005839_3_4,9,60.77833917518003,58.99458150622862,5.56552655719138,0.08620689655172414
6029412_1_4,3:629,6005839_3_4,10,60.77833917518003,57.50450239959827,7.048939003821724,0.10919540229885058
6029412_1_4,3:629,6005839_3_4,11,60.77833917518003,56.02051524089897,8.532926162521036,0.13218390804597702
6029412_1_4,3:629,6005839_3_4,13,60.77833917518003,57.50450239959828,7.048939003821726,0.10919540229885058
6029412_2_2,10:628,6005839_3_4,6,60.77833917518003,51.30838201628112,15.48208042565138,0.2318007670498085
6029412_2_2,10:628,6005839_3_4,9,60.77833917518003,51.30838201628112,15.48208042565138,0.2318007670498085
6029412_2_2,10:628,6005839_3_4,10,60.77833917518003,48.23755615688193,18.552906285050575,0.2777777785440614
6029412_2_2,10:628,6005839_3_4,11,60.77833917518003,48.23755615688193,18.552906285050575,0.2777777785440614
6029412_2_2,10:628,6005839_3_4,13,60.77833917518003,48.23755615688193,18.552906285050575,0.2777777785440614
6029412_2_2,10:629,6005839_3_4,1,60.77833917518003,52.77472350058265,12.045054601139839,0.18582375555555564
6029412_2_2,10:629,6005839_3_4,6,60.77833917518003,58.84993936075893,6.0965054009635695,0.09386973256704989
6029412_2_2,10:629,6005839_3_4,9,60.77833917518003,58.741203728666974,6.0852410330555236,0.09386973256704989
6029412_2_2,10:629,6005839_3_4,10,60.77833917518003,57.24505302483938,7.574725076883115,0.11685823831417633
6029412_2_2,10:629,6005839_3_4,11,60.77833917518003,55.75494318342049,9.064834918302024,0.13984674406130276
6029412_2_2,10:629,6005839_3_4,13,60.77833917518003,57.24505302483939,7.574725076883117,0.11685823831417633
6030582_1_4,10:118,6081235_1_2,1,74.102953655225,52.34127879258496,42.56426408069755,0.44849081299212606
6030582_1_4,10:118,6081235_1_2,3,74.102953655225,47.872495714654455,49.33960737917804,0.5075459311023622
6030582_1_4,10:118,6081235_1_2,5,74.102953655225,37.90559811946353,63.353177398158984,0.6256561673228347
6030582_1_4,10:118,6081235_1_2,8,74.102953655225,34.56595509504134,68.62408498655117,0.6650262460629922
6030582_1_4,10:118,6081235_1_2,11,74.102953655225,30.500123575108134,80.04015756145436,0.7240813641732284
6030582_1_4,10:119,6081235_1_2,1,74.102953655225,56.91550163984898,36.3023644600027,0.38943569488188984
6030582_1_4,10:119,6081235_1_2,3,74.102953655225,56.2503823368741,38.94737733686091,0.4091207342519686
6030582_1_4,10:119,6081235_1_2,5,74.102953655225,46.919693848760616,52.32473824876439,0.527230970472441
6030582_1_4,10:119,6081235_1_2,8,74.102953655225,41.951437960050484,59.450610175897026,0.5862860885826773
6030582_1_4,10:119,6081235_1_2,11,74.102953655225,38.56995565383411,70.1823335370834,0.6453412066929135
6030582_1_4,10:120,6081235_1_2,1,74.102953655225,54.95815420196647,38.0526474757527,0.4091207342519686
6030582_1_4,10:120,6081235_1_2,3,74.102953655225,55.77744389487887,38.61991801672363,0.4091207342519686
6030582_1_4,10:120,6081235_1_2,5,74.102953655225,51.847908959485764,45.64279203590674,0.4681758523622048
6030582_1_4,10:120,6081235_1_2,8,74.102953655225,45.29479841274627,54.67518374663873,0.5469160098425198
6030582_1_4,10:120,6081235_1_2,11,74.102953655225,40.116194573678676,67.04783771926134,0.6256561673228347
6030582_1_4,10:120,6081235_1_2,12,74.102953655225,16.020555956748378,119.24441436358163,0.8815616791338583
6030582_1_4,10:121,6081235_1_2,1,74.102953655225,52.03297963352792,39.062093164176254,0.4288057736220473
6030582_1_4,10:121,6081235_1_2,3,74.102953655225,52.824974826031415,39.65665819222276,0.4288057736220473
6030582_1_4,10:121,6081235_1_2,5,74.102953655225,47.08926508959478,48.53237368578272,0.5075459311023622
6030582_1_4,10:121,6081235_1_2,8,74.102953655225,40.67795966772344,57.64592682757656,0.5862860885826773
6030582_1_4,10:121,6081235_1_2,11,74.102953655225,36.79052645363323,66.94446376209677,0.6453412066929135
6030582_1_4,10:122,6081235_1_2,1,74.102953655225,49.08839697492941,43.21353627305393,0.4681758523622048
6030582_1_4,10:122,6081235_1_2,3,74.102953655225,49.825803182371885,43.86269028616145,0.4681758523622048
6030582_1_4,10:122,6081235_1_2,5,74.102953655225,50.74408927949468,44.671076626162,0.4681758523622048
6030582_1_4,10:122,6081235_1_2,8,74.102953655225,44.416161990262346,53.614584968650156,0.5469160098425198
6030582_1_4,10:122,6081235_1_2,11,74.102953655225,38.696755876734734,64.67547173548527,0.6256561673228347
6030582_1_4,10:123,6081235_1_2,1,74.102953655225,37.78324260356129,53.54373858042038,0.5862860885826773
6030582_1_4,10:123,6081235_1_2,3,74.102953655225,38.35813298537448,54.358432561008,0.5862860885826773
6030582_1_4,10:123,6081235_1_2,5,74.102953655225,39.02230530393509,55.29965058642993,0.5862860885826773
6030582_1_4,10:123,6081235_1_2,8,74.102953655225,32.500561706086586,64.52364190420091,0.6650262460629922
6030582_1_4,10:123,6081235_1_2,11,74.102953655225,32.8076931934286,71.24834077687142,0.6847112854330709
6030582_1_4,10:124,6081235_1_2,1,74.102953655225,32.54945103500981,59.2273543037102,0.6453412066929135
6030582_1_4,10:124,6081235_1_2,3,74.102953655225,33.303907132256846,60.60017126858566,0.6453412066929135
6030582_1_4,10:124,6081235_1_2,5,74.102953655225,33.81889192183117,61.537243496327164,0.6453412066929135
6030582_1_4,10:124,6081235_1_2,8,74.102953655225,34.20744937378459,62.2442670909629,0.6453412066929135
6030582_1_4,10:124,6081235_1_2,11,74.102953655225,36.635146871620506,66.6617332931395,0.6453412066929135
6030582_1_4,10:125,6081235_1_2,1,74.102953655225,30.86203804282568,61.27066692315599,0.6650262460629922
6030582_1_4,10:125,6081235_1_2,3,74.102953655225,31.574618683860763,62.68535933757673,0.6650262460629922
6030582_1_4,10:125,6081235_1_2,5,74.102953655225,32.06101967388163,63.65101536487171,0.6650262460629922
6030582_1_4,10:125,6081235_1_2,8,74.102953655225,32.42801057203299,64.37960551997617,0.6650262460629922
6030582_1_4,10:125,6081235_1_2,11,74.102953655225,34.18921890862659,67.87614742767424,0.6650262460629922
6030582_1_4,10:126,6081235_1_2,1,74.102953655225,31.0352161121628,67.39905913549971,0.6847112854330709
6030582_1_4,10:126,6081235_1_2,3,74.102953655225,31.44510244965304,68.2892077137953,0.6847112854330709
6030582_1_4,10:126,6081235_1_2,5,74.102953655225,31.904422325830673,69.28671091740516,0.6847112854330709
6030582_1_4,10:126,6081235_1_2,8,74.102953655225,32.12249108095012,69.76028999185989,0.6847112854330709
6030582_1_4,10:126,6081235_1_2,11,74.102953655225,33.94146430540101,73.71054712806233,0.6847112854330709
6030582_1_4,10:127,6081235_1_2,1,74.102953655225,25.52154925996024,74.08111648287394,0.7437664035433071
