transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_arrival_time_transit_stop,taxi_destination_time,transit_destination_time,transit_original_destination_time,integration_distance,shared_distance,destinations_distance,taxi_private_cost,taxi_shared_cost,transit_shared_cost
6053864_1_2,10:D15,6068278_1_2,1,2010-06-23 16:16:09.000001,2010-06-23 16:21:39.000000,2010-06-23 16:37:42.000000,2010-06-23 16:46:22.000000,7183.424,1297.914,7746.953,16.1874558404,6.75757183966,22.7919016711
6072510_2_1,3:629,6068772_1_1,1,2010-06-18 09:12:03.000001,2010-06-18 09:14:34.000000,2010-06-18 09:27:02.999999,2010-06-18 09:35:41.000000,3396.815,567.112,3406.388,11.1569980928,3.0888366015599997,11.380413396400002
6061249_1_1,3:R17,6067397_1_1,1,2010-06-14 08:41:06.000000,2010-06-14 08:57:56.000000,2010-06-14 08:44:12.000000,2010-06-14 08:47:01.000000,2340.299,626.239,4633.209,13.587409981099999,9.50150512835,5.3041508545
6029412_1_4,3:629,6005839_3_4,6,2010-06-05 21:53:59.000001,2010-06-05 22:17:15.000000,2010-06-05 21:54:44.000000,2010-06-05 21:58:25.000000,19868.091,163.591,17592.252,60.7783391752,45.5578918884,19.122216175
6059156_1_2,3:629,6068388_2_2,3,2010-06-18 18:23:17.999999,2010-06-18 18:29:29.000000,2010-06-18 19:04:38.999999,2010-06-18 19:05:22.000001,3317.309,1876.7720000000002,19189.215,10.043763478099999,5.16426570321,37.9633684191
6031044_3_8,10:120,6028005_1_3,1,2010-05-20 22:43:21.000000,2010-05-20 23:04:31.000000,2010-05-20 22:49:09.000000,2010-05-20 22:55:51.000000,817.924,815.8560000000001,8658.136,15.9377285449,15.248765951600001,5.29897939048
6059156_1_1,10:629,6077968_1_1,1,2010-06-18 07:41:02.000000,2010-06-18 08:07:17.000001,2010-06-18 07:53:14.000001,2010-06-18 08:03:35.000000,5653.933000000001,2769.631,3942.4240000000004,19.2584549388,13.060301174400001,9.93603131614
6030915_1_8,10:120,6028005_1_3,1,2010-05-20 22:43:21.000000,2010-05-20 23:04:31.000000,2010-05-20 22:49:09.000000,2010-05-20 22:55:51.000000,817.924,815.8560000000001,8658.136,15.9377285449,15.248765951600001,5.29897939048
6010967_1_3,10:635,6027153_1_2,1,2010-05-19 19:15:34.999999,2010-05-19 19:21:21.000000,2010-05-19 19:40:25.000002,2010-05-19 19:41:15.999999,3448.198,1499.616,9841.832,11.180178025999998,3.84303516624,23.1316076454
6016272_1_2,10:A41,6021321_2_4,1,2010-05-26 20:08:47.000000,2010-05-26 20:31:04.000000,2010-05-26 20:17:46.999999,2010-05-26 20:26:36.000000,13382.31,3010.502,6458.593000000001,39.7331634559,22.7654784591,16.7325224816
6018706_2_1,3:G26,6068278_1_2,1,2010-06-23 16:17:02.000001,2010-06-23 16:32:51.000000,2010-06-23 16:28:44.000002,2010-06-23 16:31:30.000000,7534.307,5366.151,1703.58,16.1874558404,12.666351130299999,14.0199631099
6091892_2_1,3:R16,6028436_2_2,1,2010-06-04 08:58:36.000001,2010-06-04 09:11:43.000001,2010-06-04 08:59:46.000000,2010-06-04 09:02:55.000001,2569.194,164.516,3240.2490000000003,8.67969910232,7.236802045630001,5.20331014218
6056696_1_1,10:F20,6088357_1_1,1,2010-06-20 10:38:13.000000,2010-06-20 11:08:41.999999,2010-06-20 10:43:07.000000,2010-06-20 10:51:08.000000,2467.317,861.437,17434.326,31.5610275241,30.025117121199997,5.94215566883
6031512_2_2,3:119,6065846_1_2,4,2010-06-14 17:23:12.000002,2010-06-14 17:27:25.000000,2010-06-14 17:30:23.000000,2010-06-14 17:31:23.000000,15928.465,1388.364,1303.528,30.920216620300003,14.534638966800001,19.4751554329
6020375_1_2,10:635,6066152_1_5,4,2010-06-18 22:15:05.000000,2010-06-18 22:18:40.000000,2010-06-18 22:47:12.000000,2010-06-18 22:49:11.000000,3160.4590000000003,700.549,14877.886999999999,15.170517110899999,4.11584499694,29.6106168102
6020902_1_1,3:D37,6046978_1_1,5,2010-05-23 09:51:52.999999,2010-05-23 10:01:54.000000,2010-05-23 10:24:48.000000,2010-05-23 10:29:34.000000,23144.382,8140.994000000001,18448.542,47.318067134399996,25.949454920700003,55.9582541908
6073851_1_2,3:137,6065846_1_2,1,2010-06-14 17:04:52.000001,2010-06-14 17:52:51.000000,2010-06-14 18:13:31.000000,2010-06-14 18:17:53.000000,1429.3139999999999,16450.754,9739.735999999999,30.920216620300003,18.1143613299,37.244335075
6006491_1_1,3:221,6033603_2_1,1,2010-06-01 09:11:57.999999,2010-06-01 09:55:55.000000,2010-06-01 09:42:59.000000,2010-06-01 09:52:58.000001,7131.556,14670.333999999999,4006.26,34.1861149466,24.883928865100003,21.660494409000002
6023565_1_2,3:J27,6027174_1_3,1,2010-05-26 13:05:56.000001,2010-05-26 13:51:26.000001,2010-05-26 13:14:39.999999,2010-05-26 13:27:45.000000,13146.223999999998,2722.739,15590.146,49.8641410206,36.8571366158,15.638975090299999
6016709_1_1,3:A42,6014457_2_3,1,2010-06-03 09:52:00.000000,2010-06-03 10:13:50.000002,2010-06-03 09:54:13.000000,2010-06-03 09:58:03.000000,4888.147,818.184,11405.546999999999,27.0936589716,22.2498761121,7.53218574975
6055629_1_1,3:619,6055122_1_1,1,2010-06-13 08:26:00.000001,2010-06-13 08:45:53.000001,2010-06-13 08:30:48.000000,2010-06-13 08:40:44.000000,9246.856,1312.92,12296.255,36.7095880161,27.5032638768,11.4019232128
6098773_4_2,4:D17S,6105785_1_4,1,2010-09-24 18:07:23.000001,2010-09-24 18:16:23.000000,2010-09-24 18:34:41.000000,2010-09-24 18:35:08.000000,1906.7089999999998,1541.066,9533.37,8.3635778475,3.20126757941,22.010666705100004
6106408_2_2,11:D17,6109168_1_2,1,2010-10-08 18:18:27.000001,2010-10-08 18:42:37.000001,2010-10-08 18:20:57.000000,2010-10-08 18:22:45.000000,8246.532,876.806,19493.334,42.9072476912,37.3677031728,11.0862220705
6043242_1_2,10:723,6031905_1_1,3,2010-06-01 17:08:00.000000,2010-06-01 17:09:06.000000,2010-06-01 17:27:39.999998,2010-06-01 17:48:16.000000,3798.6859999999997,277.101,15933.386,12.120890224000002,4.75434456056,32.0970797855
6130969_2_1,10:213,6084792_1_1,1,2010-06-23 07:37:25.000000,2010-06-23 07:38:56.000000,2010-06-23 07:57:55.000003,2010-06-23 08:19:12.000000,2848.1040000000003,591.993,16950.823,9.49438017384,2.67197064123,32.0038452371
6069569_1_1,10:723,6077968_1_1,1,2010-06-18 07:42:07.000000,2010-06-18 08:00:43.999999,2010-06-18 07:43:06.000000,2010-06-18 07:46:27.000000,7194.425,277.101,8057.518,19.2584549388,18.3200070206,8.80323697768
6041552_2_1,3:G15,6033603_2_1,1,2010-06-01 09:15:01.999999,2010-06-01 09:49:17.999999,2010-06-01 09:33:01.999998,2010-06-01 09:55:29.000001,13719.657,9441.716999999999,7709.905,34.1861149466,30.979869440700003,22.003090991399997
6132600_1_3,4:612N,6132576_1_2,11,2010-11-26 09:59:17.000000,2010-11-26 09:59:35.000000,2010-11-26 09:59:35.000000,2010-11-26 09:59:39.000000,545.854,188.975,0.0,14.3047781403,10.7340263521,3.5707517882
6020853_3_3,3:D20,6027185_1_5,1,2010-06-04 21:11:42.999999,2010-06-04 21:15:13.000000,2010-06-04 21:45:54.999996,2010-06-04 21:49:11.000001,7654.7919999999995,763.3710000000001,16069.245,15.750768885,6.53850295184,35.0009100391
6068416_1_2,10:629,6069024_1_1,1,2010-06-13 19:48:53.999998,2010-06-13 20:07:42.999998,2010-06-13 19:55:29.000000,2010-06-13 20:07:03.000000,13573.23,1876.7720000000002,4079.7070000000003,32.3777637802,18.4777580433,15.1402289976
6065563_1_1,3:127,6067397_1_1,1,2010-06-14 08:45:36.000000,2010-06-14 09:01:41.999998,2010-06-14 08:53:42.000000,2010-06-14 08:56:54.000000,3210.2009999999996,2039.684,2743.518,13.587409981099999,8.71951417336,7.457657865419999
6033645_1_1,3:213,6084792_1_1,1,2010-06-23 07:37:25.000000,2010-06-23 07:38:56.000000,2010-06-23 07:57:55.000003,2010-06-23 08:19:12.000000,2848.1040000000003,591.993,16950.823,9.49438017384,2.67197064123,32.0038452371
6057412_2_4,10:M21,6063673_1_3,1,2010-06-18 17:25:40.999998,2010-06-18 18:05:56.000000,2010-06-18 17:45:43.000000,2010-06-18 18:01:36.000000,9956.539,10316.085,10824.601,34.3536813056,32.561258679299996,19.7460258094
6065050_1_1,10:A25,6068162_1_3,1,2010-06-17 13:34:51.000001,2010-06-17 13:52:32.999999,2010-06-17 13:41:07.000000,2010-06-17 13:45:50.000000,1105.0639999999999,1189.276,2778.518,7.847034000619999,6.52827169229,5.21204542184
