transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_arrival_time_transit_stop,taxi_destination_time,transit_destination_time,transit_original_destination_time,integration_distance,shared_distance,destinations_distance,taxi_private_cost,taxi_shared_cost,transit_shared_cost
6053864_1_2,10:B08,6068278_1_2,5,2010-06-23 16:15:25.000000,2010-06-23 16:26:13.999999,2010-06-23 16:42:42.000000,2010-06-23 16:46:22.000000,3062.157,3246.542,7746.953,16.187455840364994,15.994773643726536,17.078084940168463
6072628_2_1,3:A19,6071921_1_2,5,2010-06-11 11:42:58.000000,2010-06-11 12:04:25.000000,2010-06-11 11:50:24.000001,2010-06-11 12:05:01.999999,6853.606,2655.495,11105.784,16.948871748340007,7.653839399344545,29.51733872442795
6126363_1_1,4:625S,6102805_1_1,1,2010-10-20 08:38:34.999999,2010-10-20 09:01:50.000000,2010-10-20 08:41:58.000001,2010-10-20 08:48:11.000000,2428.346,544.71,11510.628,16.4808659851325,3.163596756272441,23.18242294397089
6072510_2_1,3:628,6068772_1_1,1,2010-06-18 09:12:26.999998,2010-06-18 09:17:45.000000,2010-06-18 09:30:02.999999,2010-06-18 09:35:41.000000,3480.341,1280.468,3406.388,11.156998092820004,10.385838237594953,5.301310180122549
6043822_1_1,3:723,6035422_1_2,1,2010-05-19 08:37:54.000000,2010-05-19 08:43:31.999999,2010-05-19 08:39:15.000001,2010-05-19 08:41:14.000000,1780.489,579.403,1110.2910000000002,6.6294761672525,3.653744063767288,4.736933638465212
6066793_1_2,3:A28,6068278_1_2,2,2010-06-23 16:14:44.999999,2010-06-23 16:25:04.999999,2010-06-23 16:18:00.000000,2010-06-23 16:25:57.000000,5295.593000000001,913.704,2768.458,16.187455840364994,10.998564389605551,8.995323204819451
6057510_1_4,10:A28,6068278_1_1,2,2010-06-23 13:24:56.999999,2010-06-23 13:45:55.000002,2010-06-23 13:29:18.000000,2010-06-23 13:34:57.000000,1887.739,630.511,4343.682,12.927976900485001,12.007059024990115,3.572177518319051
6074080_1_3,10:L10,6059753_1_4,4,2010-06-17 19:48:46.000001,2010-06-17 20:09:35.000000,2010-06-17 19:50:57.000000,2010-06-17 19:58:52.000000,5829.766,1279.491,7444.149,16.618738577472506,14.44258025048418,13.41717448213082
6036687_2_2,3:R04,6017763_2_3,10,2010-05-23 16:33:05.000001,2010-05-23 16:54:58.000000,2010-05-23 16:37:20.999999,2010-05-23 16:47:50.999999,6934.088000000001,1357.536,12488.098,54.6788668361,46.702305283752224,17.87588237574027
6127634_3_2,10:D22,6027444_1_4,1,2010-06-07 17:50:47.999999,2010-06-07 18:13:16.000001,2010-06-07 17:52:25.000000,2010-06-07 17:52:37.000000,1412.69,433.111,8994.657,20.218146602035,16.78930015203947,4.050565417755531
6026168_1_2,10:D24,6017763_2_3,9,2010-05-23 16:16:21.999999,2010-05-23 17:08:27.999996,2010-05-23 16:40:06.999998,2010-05-23 16:46:29.000000,3803.934,6100.781999999999,24914.819,54.6788668361,28.590496649182487,41.21030917845001
6007242_1_3,10:416,6039034_1_2,1,2010-05-23 15:11:55.000001,2010-05-23 15:35:02.000001,2010-05-23 15:24:43.000000,2010-05-23 15:48:42.000000,7468.557,11096.756000000001,6778.464,22.858355399884985,4.330570863684153,38.47248260865002
6006057_2_4,3:626,6031396_1_2,4,2010-05-21 17:13:47.999998,2010-05-21 17:26:33.999998,2010-05-21 17:45:35.999999,2010-05-21 17:54:26.000001,4922.143,3810.3,11987.958,15.155790462209998,11.175482199993457,27.40062644164238
6116762_1_3,7:503478,6119629_1_4,1,2010-09-25 14:41:20.000002,2010-09-25 15:29:42.000001,2010-09-25 15:00:05.000000,2010-09-25 15:29:28.000000,4937.641,2812.795,25000.341,49.2221249691475,2.732365909454374,55.53692504871313
6031778_2_1,3:A19,6071921_1_2,5,2010-06-11 11:42:58.000000,2010-06-11 12:04:25.000000,2010-06-11 11:50:24.000001,2010-06-11 12:05:01.999999,6853.606,2655.495,11105.784,16.948871748340007,7.653839399344545,29.51733872442795
6091221_1_1,11:R30,6088213_2_1,1,2010-06-29 08:07:18.000000,2010-06-29 08:26:29.000000,2010-06-29 08:08:53.000000,2010-06-29 08:12:29.000000,2115.795,458.725,5817.696999999999,12.523650790785,11.186255944663111,4.850444729104384
6057408_1_1,10:L06,6067397_1_1,1,2010-06-14 08:38:01.000000,2010-06-14 09:03:13.000000,2010-06-14 08:51:37.000000,2010-06-14 08:59:22.000000,2244.5589999999997,961.534,4987.875,13.587409981089998,5.52721173121071,14.394856827442618
6031044_3_8,10:120,6028005_1_3,1,2010-05-20 22:43:21.000000,2010-05-20 23:04:31.000000,2010-05-20 22:49:09.000000,2010-05-20 22:55:51.000000,817.924,815.8560000000001,8658.136,15.937728544889994,5.367673428607435,15.180071913482564
6030915_1_8,10:120,6028005_1_3,1,2010-05-20 22:43:21.000000,2010-05-20 23:04:31.000000,2010-05-20 22:49:09.000000,2010-05-20 22:55:51.000000,817.924,815.8560000000001,8658.136,15.937728544889994,5.367673428607435,15.180071913482564
6056414_1_1,10:D15,6068018_1_1,1,2010-06-21 09:05:10.999999,2010-06-21 09:14:59.000000,2010-06-21 09:07:18.000000,2010-06-21 09:10:09.000000,1507.3120000000001,470.529,2200.254,8.04048698748,7.4667804864414755,2.0235871841710256
6031283_2_2,3:D19,6067195_2_4,1,2010-06-07 17:57:44.000000,2010-06-07 18:14:09.000000,2010-06-07 18:04:30.000000,2010-06-07 18:08:33.000000,2758.972,1731.6570000000002,2038.604,20.218146602035,10.865968248079364,3.2767218480281364
6068416_2_2,10:628,6069024_1_1,9,2010-06-13 19:50:15.000000,2010-06-13 20:06:42.999998,2010-06-13 19:54:39.000001,2010-06-13 20:07:03.000000,7916.554,1157.744,4079.7070000000003,32.3777637801675,23.648499746715736,12.008158587171767
6119125_1_2,11:116,6109168_1_2,1,2010-10-08 18:06:36.000001,2010-10-08 18:46:52.999999,2010-10-08 18:22:55.000000,2010-10-08 18:30:28.000000,4125.8279999999995,544.7669999999999,21495.67,42.90724769121501,21.39421762057636,29.05317799604448
6016272_1_2,10:F23,6021321_2_4,9,2010-05-26 20:17:51.000002,2010-05-26 20:34:04.000000,2010-05-26 20:20:24.000000,2010-05-26 20:26:36.000000,6109.906999999999,864.707,6458.593000000001,39.73316345586999,21.69637535740032,29.099734859287175
