transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_arrival_time_transit_stop,taxi_destination_time,transit_destination_time,transit_original_destination_time,integration_distance,shared_distance,destinations_distance,taxi_private_cost,taxi_shared_cost,transit_shared_cost
6053864_1_2,10:B08,6068278_1_2,5,2010-06-23 16:15:25.000000,2010-06-23 16:26:13.999999,2010-06-23 16:42:42.000000,2010-06-23 16:46:22.000000,3062.157,3246.542,7746.953,16.187455840364994,15.994773643726536,17.078084940168463
6072510_2_1,3:628,6068772_1_1,1,2010-06-18 09:12:26.999998,2010-06-18 09:17:45.000000,2010-06-18 09:30:02.999999,2010-06-18 09:35:41.000000,3480.341,1280.468,3406.388,11.156998092820004,10.385838237594953,5.301310180122549
6029412_1_4,3:629,6005839_3_4,9,2010-06-05 21:54:17.000001,2010-06-05 22:17:15.000000,2010-06-05 21:54:44.000000,2010-06-05 21:58:25.000000,18843.256,163.591,17592.252,60.77833917518004,58.99458150622862,5.56552655719138
6101569_1_2,4:633S,6115896_1_2,8,2010-10-10 12:06:33.000002,2010-10-10 12:34:17.999999,2010-10-10 12:07:56.999999,2010-10-10 12:14:00.000000,6445.779,408.287,12412.752,23.279433671745,0.994554820322269,38.37810968790024
6059156_1_2,3:250,6074358_2_1,1,2010-06-18 18:55:03.000000,2010-06-18 19:23:48.000002,2010-06-18 18:57:34.000000,2010-06-18 19:05:22.000001,18969.807,548.339,10534.089,36.2797247997725,7.150363240665115,44.11360504479738
6031044_3_8,10:120,6028005_1_3,1,2010-05-20 22:43:21.000000,2010-05-20 23:04:31.000000,2010-05-20 22:49:09.000000,2010-05-20 22:55:51.000000,817.924,815.8560000000001,8658.136,15.937728544889994,5.367673428607435,15.180071913482564
6030915_1_8,10:120,6028005_1_3,1,2010-05-20 22:43:21.000000,2010-05-20 23:04:31.000000,2010-05-20 22:49:09.000000,2010-05-20 22:55:51.000000,817.924,815.8560000000001,8658.136,15.937728544889994,5.367673428607435,15.180071913482564
6016272_1_2,10:A41,6021321_2_4,5,2010-05-26 20:05:55.999999,2010-05-26 20:29:04.000000,2010-05-26 20:15:46.999999,2010-05-26 20:26:36.000000,10658.249,3010.502,6458.593000000001,39.73316345586999,23.9358188701935,15.58884874377733
6018706_2_1,3:G24,6068278_1_2,2,2010-06-23 16:14:18.999998,2010-06-23 16:29:51.000000,2010-06-23 16:25:18.999999,2010-06-23 16:31:30.000000,6618.473000000001,4104.613,1703.58,16.187455840364994,7.244396366146518,19.140457767397653
6091892_2_1,3:R16,6028436_2_2,1,2010-06-04 08:58:36.000001,2010-06-04 09:11:43.000001,2010-06-04 08:59:46.000000,2010-06-04 09:02:55.000001,2569.194,164.516,3240.2490000000003,8.6796991023175,3.6636455332238764,8.776466654581956
6056696_1_1,10:F20,6088357_1_1,1,2010-06-20 10:38:13.000000,2010-06-20 11:08:41.999999,2010-06-20 10:43:07.000000,2010-06-20 10:51:08.000000,2467.317,861.437,17434.326,31.56102752405751,23.687285449508828,12.2799873405245
6047479_1_3,3:D17,6021151_1_3,1,2010-05-31 20:16:53.000000,2010-05-31 21:00:58.000001,2010-05-31 20:38:56.999999,2010-05-31 20:53:22.000000,3959.36,18781.444,23008.775,49.672058000822496,21.91149832569167,52.65715580633083
6073851_1_2,3:137,6065846_1_2,1,2010-06-14 17:04:52.000001,2010-06-14 17:52:51.000000,2010-06-14 18:13:31.000000,2010-06-14 18:17:53.000000,1429.3139999999999,16450.754,9739.735999999999,30.9202166203275,6.103312649388572,49.2553837554881
6034022_1_2,13:405135,6116243_1_2,1,2010-11-11 14:14:17.000000,2010-11-11 14:36:08.000001,2010-11-11 14:17:00.000000,2010-11-11 14:18:21.000000,8050.293000000001,795.702,16690.976000000002,35.2612716345,34.871472923576604,7.798360094525907
6023565_1_2,3:J27,6027174_1_3,3,2010-05-26 13:06:16.000001,2010-05-26 13:51:26.000001,2010-05-26 13:14:39.999999,2010-05-26 13:27:45.000000,11249.075,2722.739,15590.146,49.864141020622505,7.602227499796642,44.76055087296753
6016709_1_1,3:A42,6014457_2_3,1,2010-06-03 09:52:00.000000,2010-06-03 10:13:50.000002,2010-06-03 09:54:13.000000,2010-06-03 09:58:03.000000,4888.147,818.184,11405.546999999999,27.093658971572506,16.100726396175357,13.68133546566965
6055629_1_1,3:618,6055122_1_1,2,2010-06-13 08:25:49.999999,2010-06-13 08:44:53.000001,2010-06-13 08:29:52.999999,2010-06-13 08:40:44.000000,10116.169,1977.5629999999999,12296.255,36.709588016139996,33.350108100869825,8.513127882415164
