transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_arrival_time_transit_stop,taxi_destination_time,transit_destination_time,integration_distance,shared_distance,destinations_distance
6030582_1_4,10:125,6081235_1_2,1,2010-06-19 21:36:23.000000,2010-06-19 22:54:34.999998,2010-06-19 22:07:05.000002,1114.782,4301.882,47669.842
6030582_1_4,10:126,6081235_1_2,1,2010-06-19 21:31:15.000000,2010-06-19 22:55:34.999998,2010-06-19 22:08:35.000000,200.432,7513.241,47669.842
6030582_1_4,10:126,6081235_1_2,3,2010-06-19 21:33:46.000000,2010-06-19 22:55:34.999998,2010-06-19 22:08:35.000000,943.582,7513.241,47669.842
6030582_1_4,10:127,6081235_1_2,1,2010-06-19 21:34:29.000000,2010-06-19 22:58:34.999998,2010-06-19 22:11:38.000000,896.201,8015.934,47669.842
6030582_1_4,10:127,6081235_1_2,3,2010-06-19 21:34:51.000000,2010-06-19 22:58:34.999998,2010-06-19 22:11:38.000000,1321.673,8015.934,47669.842
6030582_1_4,10:127,6081235_1_2,5,2010-06-19 21:36:38.000000,2010-06-19 22:58:34.999998,2010-06-19 22:11:38.000000,1289.511,8015.934,47669.842
6030582_1_4,10:725,6081235_1_2,1,2010-06-19 21:34:31.000000,2010-06-19 23:04:34.999998,2010-06-19 22:17:24.000001,909.742,8015.015,47669.842
6030582_1_4,10:725,6081235_1_2,3,2010-06-19 21:34:53.000000,2010-06-19 23:04:34.999998,2010-06-19 22:17:24.000001,1335.214,8015.015,47669.842
6030582_1_4,10:725,6081235_1_2,5,2010-06-19 21:36:40.000000,2010-06-19 23:04:34.999998,2010-06-19 22:17:24.000001,1303.052,8015.015,47669.842
6030582_1_4,10:724,6081235_1_2,1,2010-06-19 21:36:10.000000,2010-06-19 23:03:34.999998,2010-06-19 22:16:01.999999,1288.065,6919.67,47669.842
6030582_1_4,10:724,6081235_1_2,3,2010-06-19 21:36:32.000000,2010-06-19 23:03:34.999998,2010-06-19 22:16:01.999999,1713.537,6919.67,47669.842
6030582_1_4,10:724,6081235_1_2,5,2010-06-19 21:35:30.000000,2010-06-19 23:03:34.999998,2010-06-19 22:16:01.999999,755.754,6919.67,47669.842
6030582_1_4,10:723,6081235_1_2,3,2010-06-19 21:34:22.000000,2010-06-19 23:02:34.999998,2010-06-19 22:15:02.000001,1109.474,6525.709,47669.842
6030582_1_4,10:723,6081235_1_2,5,2010-06-19 21:35:15.000000,2010-06-19 23:02:34.999998,2010-06-19 22:15:02.000001,804.191,6525.709,47669.842
6030582_1_4,10:723,6081235_1_2,8,2010-06-19 21:37:29.000001,2010-06-19 23:02:34.999998,2010-06-19 22:15:02.000001,1009.857,6525.709,47669.842
6030582_1_4,3:631,6081235_1_2,3,2010-06-19 21:34:28.000000,2010-06-19 23:03:34.999998,2010-06-19 22:16:43.000000,1184.329,6432.621,47669.842
6030582_1_4,3:631,6081235_1_2,5,2010-06-19 21:35:21.000000,2010-06-19 23:03:34.999998,2010-06-19 22:16:43.000000,879.046,6432.621,47669.842
6030582_1_4,3:631,6081235_1_2,8,2010-06-19 21:37:35.000000,2010-06-19 23:03:34.999998,2010-06-19 22:16:43.000000,1084.712,6432.621,47669.842
6030582_1_4,3:629,6081235_1_2,3,2010-06-19 21:35:41.000000,2010-06-19 23:06:34.999998,2010-06-19 22:19:07.000000,1630.375,2808.698,47669.842
6044009_1_3,10:F09,6042911_1_3,3,2010-05-08 15:53:18.000001,2010-05-08 16:00:01.999999,2010-05-08 16:18:31.999998,874.806,3898.792,11316.105
6044009_1_3,10:G21,6042911_1_3,2,2010-05-08 15:50:13.000000,2010-05-08 15:58:22.999998,2010-05-08 16:16:31.999998,737.995,3376.7,11316.105
6044009_1_3,10:G21,6042911_1_3,3,2010-05-08 15:50:21.000000,2010-05-08 15:58:22.999998,2010-05-08 16:16:31.999998,81.632,3376.7,11316.105
6087484_1_2,3:220,6086311_1_3,1,2010-06-26 15:31:56.999999,2010-06-26 15:34:24.000000,2010-06-26 15:51:48.999999,866.119,1479.431,12195.869
6087484_1_2,3:220,6086311_1_3,3,2010-06-26 15:31:35.000000,2010-06-26 15:34:24.000000,2010-06-26 15:51:48.999999,294.064,1479.431,12195.869
6087484_1_2,3:219,6086311_1_3,1,2010-06-26 15:31:20.999999,2010-06-26 15:36:39.999999,2010-06-26 15:53:48.999999,554.082,2093.889,12195.869
6087484_1_2,3:219,6086311_1_3,3,2010-06-26 15:31:36.000000,2010-06-26 15:36:39.999999,2010-06-26 15:53:48.999999,320.394,2093.889,12195.869
6087484_1_2,3:218,6086311_1_3,1,2010-06-26 15:31:32.999999,2010-06-26 15:38:48.000000,2010-06-26 15:55:48.999999,706.712,2606.582,12195.869
