transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_arrival_time_transit_stop,taxi_destination_time,transit_destination_time,integration_distance,shared_distance,destinations_distance
6010079_1_2,10:609,6005839_3_2,9,2010-06-05 12:11:01.000001,2010-06-05 12:20:24.999998,2010-06-05 12:42:32.000000,6672.118,6041.795,19742.907
6026137_1_1,3:L06,6030864_1_2,1,2010-05-22 14:22:14.999999,2010-05-22 15:14:51.000002,2010-05-22 14:43:46.000000,12341.159,10460.624,20185.359
6026137_1_1,3:L06,6030864_1_2,4,2010-05-22 14:20:36.999998,2010-05-22 15:12:51.000002,2010-05-22 14:41:46.000000,11921.266,10460.624,20185.359
6026137_1_1,3:L05,6030864_1_2,1,2010-05-22 14:21:32.000000,2010-05-22 15:15:51.000002,2010-05-22 14:44:27.000000,11615.766,6739.006,20185.359
6026137_1_1,3:L05,6030864_1_2,4,2010-05-22 14:19:54.000001,2010-05-22 15:13:51.000002,2010-05-22 14:42:27.000000,11195.873,6739.006,20185.359
6026137_1_1,3:L03,6030864_1_2,1,2010-05-22 14:22:32.999999,2010-05-22 15:16:51.000002,2010-05-22 14:45:06.000000,11523.369,7011.702,20185.359
6029214_1_5,10:634,6046200_1_3,1,2010-05-22 16:18:36.000000,2010-05-22 17:00:57.999999,2010-05-22 16:33:13.999999,15135.261,5765.496,15953.07
6029214_1_5,10:634,6046200_1_3,4,2010-05-22 16:17:24.000000,2010-05-22 16:59:57.999999,2010-05-22 16:32:13.999999,12673.056,5765.496,15953.07
6029214_1_5,10:633,6046200_1_3,1,2010-05-22 16:17:53.000001,2010-05-22 17:00:57.999999,2010-05-22 16:33:10.000000,13082.091,4447.189,15953.07
6029214_1_5,10:633,6046200_1_3,4,2010-05-22 16:15:28.999999,2010-05-22 16:58:57.999999,2010-05-22 16:31:10.000000,12266.721,4447.189,15953.07
6029214_1_5,10:632,6046200_1_3,1,2010-05-22 16:16:06.999998,2010-05-22 16:58:57.999999,2010-05-22 16:31:06.000000,12706.37,4202.742,15953.07
6029214_1_5,10:632,6046200_1_3,4,2010-05-22 16:13:43.000000,2010-05-22 16:58:57.999999,2010-05-22 16:31:06.000000,11891.0,4202.742,15953.07
6029214_1_5,10:631,6046200_1_3,1,2010-05-22 16:18:17.000000,2010-05-22 16:56:57.999999,2010-05-22 16:29:20.000000,6935.132,2900.215,15953.07
6029214_1_5,10:631,6046200_1_3,4,2010-05-22 16:13:35.000000,2010-05-22 16:56:57.999999,2010-05-22 16:29:20.000000,11888.827,2900.215,15953.07
6029412_1_4,3:629,6005839_3_4,6,2010-06-05 21:53:59.000001,2010-06-05 22:17:15.000000,2010-06-05 21:54:44.000000,19868.091,163.591,17592.252
