transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_private_cost,taxi_shared_cost,transit_shared_cost
6011285_3_5,8:R43,6011285_1_5_3,1,17.8218869734,-74.8253945924,97.0317432405
6011285_3_5,8:R43,6011285_1_5_3,3,17.8218869734,-71.1895206583,94.0606452128
6011285_3_5,8:R43,6011285_1_5_1,1,17.8218869734,-79.6253945924,103.031743241
6011285_3_5,8:R43,6011285_1_5_1,3,17.8218869734,-75.9895206583,100.060645213
6011285_3_5,8:R43,6011285_1_5_4,1,17.8218869734,-74.8253945924,97.0317432405
6011285_3_5,8:R43,6011285_1_5_4,3,17.8218869734,-71.1895206583,94.0606452128
6011285_3_5,8:R42,6011285_1_5_3,1,17.8218869734,-73.668562145,95.5857026812
6011285_3_5,8:R42,6011285_1_5_3,3,17.8218869734,-69.9796883536,92.548354832
6011285_3_5,8:R42,6011285_1_5_4,1,17.8218869734,-73.668562145,95.5857026812
6011285_3_5,8:R42,6011285_1_5_4,3,17.8218869734,-69.9796883536,92.548354832
6014126_1_4,10:229,6066152_1_6_4,13,15.4910404673,4.4108921423,34.1302426637
6014324_1_9,3:L08,6024161_1_1_2,6,8.75733630191,-11.7832633254,32.9242331664
6014324_1_9,3:L08,6024161_1_1_3,6,8.75733630191,-11.7832633254,32.9242331664
6015479_1_1,3:235,6016562_1_1_0,3,6.91830960261,-1.71375364542,29.0093768331
6025946_1_2,10:136,6005839_3_3_1,20,58.7687773609,39.332130307,26.1706527402
6025946_1_2,10:137,6005839_3_3_0,20,58.7687773609,46.4286377051,17.3000184926
6025946_1_2,10:137,6005839_3_3_3,20,58.7687773609,44.8286377051,19.3000184926
6025946_1_2,10:137,6005839_3_3_2,20,58.7687773609,47.3619710384,16.133351826
6025946_1_2,10:137,6005839_3_3_4,20,58.7687773609,47.3619710384,16.133351826
6030582_1_4,10:121,6081235_1_2_0,1,74.1029536552,21.4779262265,69.2171465712
6030582_1_4,10:121,6081235_1_2_1,1,74.1029536552,7.07792622646,87.2171465712
6030582_1_4,10:121,6081235_1_2_2,1,74.1029536552,23.0779262265,67.2171465712
6030582_1_4,10:121,6081235_1_2_3,1,74.1029536552,16.6779262265,75.2171465712
6030582_1_4,10:121,6081235_1_2_4,1,74.1029536552,18.2779262265,73.2171465712
6030582_1_4,10:122,6081235_1_2_0,1,74.1029536552,16.6504844253,75.2514488226
6030582_1_4,10:122,6081235_1_2_0,3,74.1029536552,16.8656032223,76.4228902463
6030582_1_4,10:122,6081235_1_2_1,1,74.1029536552,2.25048442534,93.2514488226
6030582_1_4,10:122,6081235_1_2_1,3,74.1029536552,2.46560322228,94.4228902463
6030582_1_4,10:122,6081235_1_2_2,1,74.1029536552,18.2504844253,73.2514488226
6030582_1_4,10:122,6081235_1_2_2,3,74.1029536552,18.4656032223,74.4228902463
6030582_1_4,10:122,6081235_1_2_3,1,74.1029536552,11.8504844253,81.2514488226
6030582_1_4,10:122,6081235_1_2_3,3,74.1029536552,12.0656032223,82.4228902463
6030582_1_4,10:122,6081235_1_2_4,1,74.1029536552,13.4504844253,79.2514488226
6030582_1_4,10:122,6081235_1_2_4,3,74.1029536552,13.6656032223,80.4228902463
6030582_1_4,10:123,6081235_1_2_0,1,74.1029536552,20.5502926813,70.3766885026
6030582_1_4,10:123,6081235_1_2_0,3,74.1029536552,20.7533149109,71.5632506355
6030582_1_4,10:123,6081235_1_2_1,1,74.1029536552,6.15029268135,88.3766885026
6030582_1_4,10:123,6081235_1_2_1,3,74.1029536552,6.35331491088,89.5632506355
6030582_1_4,10:123,6081235_1_2_2,1,74.1029536552,22.1502926813,68.3766885026
6030582_1_4,10:123,6081235_1_2_2,3,74.1029536552,22.3533149109,69.5632506355
6030582_1_4,10:123,6081235_1_2_3,1,74.1029536552,15.7502926813,76.3766885026
