transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_private_cost,taxi_shared_cost,transit_shared_cost
6003647_1_3,10:416,6005839_3_4_1,1,60.7783391752,33.9942776836,26.2731469539
6003647_1_3,10:416,6005839_3_4_1,6,60.7783391752,35.2979715185,24.9694531191
6003647_1_3,10:416,6005839_3_4_1,9,60.7783391752,36.0939749544,24.1734496831
6003647_1_3,10:416,6005839_3_4_1,10,60.7783391752,39.3235414064,20.9438832312
6003647_1_3,10:416,6005839_3_4_1,11,60.7783391752,42.0056302976,18.2617943399
6003647_1_3,10:416,6005839_3_4_1,13,60.7783391752,43.4528934554,16.8145311821
6003647_1_3,10:222,6005839_3_4_1,1,60.7783391752,33.8300780667,26.108947337
6003647_1_3,10:222,6005839_3_4_1,6,60.7783391752,35.1337719016,24.8052535022
6003647_1_3,10:222,6005839_3_4_1,9,60.7783391752,35.9297753375,24.0092500662
6003647_1_3,10:222,6005839_3_4_1,10,60.7783391752,39.1593417895,20.7796836143
6003647_1_3,10:222,6005839_3_4_1,11,60.7783391752,41.8414306807,18.097594723
6003647_1_3,10:222,6005839_3_4_1,13,60.7783391752,43.2886938385,16.6503315653
6003647_1_3,10:221,6005839_3_4_1,6,60.7783391752,34.7613990188,24.4328806195
6003647_1_3,10:221,6005839_3_4_1,10,60.7783391752,38.7869689067,20.4073107316
6003647_1_3,10:221,6005839_3_4_1,11,60.7783391752,41.469057798,17.7252218403
6003647_1_3,10:221,6005839_3_4_1,13,60.7783391752,42.9163209558,16.2779586825
6010079_1_2,10:609,6005839_3_2_2,10,17.0234719972,14.0009119813,43.7409123705
6011285_3_4,11:R42,6011285_1_4_2,6,28.6281376069,17.1795791928,12.2130653309
6011285_3_4,11:R42,6011285_1_4_2,7,28.6281376069,17.5974201217,11.7952244019
6011285_3_5,8:R43,6011285_1_5_3,1,17.8218869734,9.35317432405,12.8531743241
6011285_3_5,8:R43,6011285_1_5_3,3,17.8218869734,10.3150600332,12.5560645213
6011285_3_5,8:R43,6011285_1_5_1,1,17.8218869734,9.95317432405,13.4531743241
6011285_3_5,8:R43,6011285_1_5_1,3,17.8218869734,10.9150600332,13.1560645213
