transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_private_cost,taxi_shared_cost,transit_shared_cost
6003647_1_3,10:416,6005839_3_4_5,15,60.77833917518001,48.5010395916158,11.766385045951704
6003647_1_3,10:416,6005839_3_4_5,17,60.77833917518001,48.38090843046838,11.737241144914124
6003647_1_3,10:416,6005839_3_4_5,19,60.77833917518001,48.38090843046838,11.737241144914124
6003647_1_3,10:222,6005839_3_4_5,15,60.77833917518001,48.2367557876317,11.702269616153304
6003647_1_3,10:222,6005839_3_4_5,17,60.77833917518001,48.2367557876317,11.702269616153304
6003647_1_3,10:222,6005839_3_4_5,19,60.77833917518001,49.641028149995726,10.297997253789273
6003647_1_3,10:221,6005839_3_4_5,15,60.77833917518001,47.637411381025075,11.556868257282428
6003647_1_3,10:221,6005839_3_4_5,17,60.77833917518001,47.637411381025075,11.556868257282428
6003647_1_3,10:221,6005839_3_4_5,19,60.77833917518001,47.69956552215496,13.349203632790033
6010246_1_2,10:619,6086311_1_4_4,1,6.55511825311,0.631763436139491,18.21584417138801
6010246_1_2,10:618,6086311_1_4_0,1,6.55511825311,3.9043787780146326,13.567716472002036
6010246_1_2,10:618,6086311_1_4_3,1,6.55511825311,3.9043787780146326,13.567716472002036
6010246_1_2,10:617,6086311_1_4_2,1,6.55511825311,3.128478031185168,14.649222526978168
6011285_3_4,11:R33,6011285_1_4_7,8,28.628137606929997,27.440114106039537,3.2436212951054624
6011285_3_4,11:R40,6011285_1_4_7,11,28.628137606929997,25.366278084651867,3.615456903538133
6011285_3_4,11:R41,6011285_1_4_7,13,28.628137606929997,25.814479303583923,5.2438092157960705
6011285_3_5,8:R43,6011285_1_5_9,1,17.82188697335,8.207482192475661,13.198866455627675
6011285_3_5,8:R43,6011285_1_5_9,3,17.82188697335,8.462366222603546,13.608758331898123
6011285_3_5,8:R43,6011285_1_5_7,1,17.82188697335,15.49486864676803,3.4914800080019726
6011285_3_5,8:R43,6011285_1_5_7,3,17.82188697335,11.17785694900061,10.006600938834392
6011285_3_5,8:R43,6011285_1_5_6,1,17.82188697335,0.5345199255237802,22.871828722579554
6011285_3_5,8:R43,6011285_1_5_6,3,17.82188697335,0.5497011044987774,23.521423450002892
6011285_3_5,8:R43,6011285_1_5_5,1,17.82188697335,10.872820944924866,9.733527703178469
6011285_3_5,8:R43,6011285_1_5_5,3,17.82188697335,11.223586115513905,10.047538438987763
6011285_3_5,8:R42,6011285_1_5_9,1,17.82188697335,8.680363042019414,12.436777494228922
6011285_3_5,8:R42,6011285_1_5_9,3,17.82188697335,8.948177791786508,12.82048868653766
6011285_3_5,8:R42,6011285_1_5_7,1,17.82188697335,16.776034960432842,1.5411055758154917
6011285_3_5,8:R42,6011285_1_5_7,3,17.82188697335,17.671927716273572,1.6234054353839311
6011285_3_5,8:R42,6011285_1_5_5,1,17.82188697335,11.281873700374353,9.035266835873982
6011285_3_5,8:R42,6011285_1_5_5,3,17.82188697335,11.643658538053792,9.325007940270375
6011285_3_5,8:R41,6011285_1_5_9,1,17.82188697335,5.797842034608788,15.546426055395376
