transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_private_cost,taxi_shared_cost,transit_shared_cost
6003647_1_3,10:621,6005839_3_4_4,15,60.77833917518001,55.821854871744996,8.175061809235
6003647_1_3,10:621,6005839_3_4_4,17,60.77833917518001,56.254258406793745,7.5054343606612495
6003647_1_3,10:416,6005839_3_4_2,15,60.77833917518001,53.95710885003875,6.310315787528749
6003647_1_3,10:416,6005839_3_4_2,17,60.77833917518001,54.43348681075749,5.684662764624999
6003647_1_3,10:416,6005839_3_4_2,19,60.77833917518001,55.1165506304925,5.0015989448900005
6003647_1_3,10:416,6005839_3_4_1,15,60.77833917518001,53.95710885003875,6.310315787528749
6003647_1_3,10:416,6005839_3_4_1,17,60.77833917518001,54.43348681075749,5.684662764624999
6003647_1_3,10:416,6005839_3_4_1,19,60.77833917518001,55.1165506304925,5.0015989448900005
6003647_1_3,10:416,6005839_3_4_4,15,60.77833917518001,54.02377552003875,6.376982457528749
6003647_1_3,10:416,6005839_3_4_4,17,60.77833917518001,54.43348681075749,5.684662764624999
6003647_1_3,10:416,6005839_3_4_4,19,60.77833917518001,55.13655063049249,5.02159894489
6003647_1_3,10:222,6005839_3_4_2,15,60.77833917518001,53.7929092331475,6.1461161706375
6003647_1_3,10:222,6005839_3_4_2,17,60.77833917518001,54.34392472495875,5.59510067882625
6003647_1_3,10:222,6005839_3_4_2,19,60.77833917518001,55.02698854469375,4.912036859091249
6003647_1_3,10:222,6005839_3_4_1,15,60.77833917518001,53.7929092331475,6.1461161706375
6003647_1_3,10:222,6005839_3_4_1,17,60.77833917518001,54.34392472495875,5.59510067882625
6003647_1_3,10:222,6005839_3_4_1,19,60.77833917518001,55.02698854469375,4.912036859091249
6003647_1_3,10:222,6005839_3_4_4,15,60.77833917518001,54.1562425631475,6.5094495006374995
6003647_1_3,10:222,6005839_3_4_4,17,60.77833917518001,54.68059138829208,5.931767342159583
6003647_1_3,10:222,6005839_3_4_4,19,60.77833917518001,55.43698854469375,5.3220368590912495
6003647_1_3,10:221,6005839_3_4_2,15,60.77833917518001,53.42053635040875,5.77374328789875
6003647_1_3,10:221,6005839_3_4_2,17,60.77833917518001,53.97155184222,5.2227277960875
6003647_1_3,10:221,6005839_3_4_2,19,60.77833917518001,55.58186042027375,5.46690873467125
6003647_1_3,10:221,6005839_3_4_1,15,60.77833917518001,53.42053635040875,5.77374328789875
6003647_1_3,10:221,6005839_3_4_1,17,60.77833917518001,53.97155184222,5.2227277960875
6003647_1_3,10:221,6005839_3_4_1,19,60.77833917518001,55.58186042027375,5.46690873467125
6003647_1_3,10:221,6005839_3_4_4,15,60.77833917518001,53.82386968374209,6.177076621232083
6003647_1_3,10:221,6005839_3_4_4,17,60.77833917518001,54.348218505553334,5.599394459420833
6003647_1_3,10:221,6005839_3_4_4,19,60.77833917518001,55.81852708694042,5.703575401337917
6010142_1_4,3:609,6010168_1_4_1,11,18.1431638980425,15.181799193395001,4.8733077373725
6011285_3_4,11:R34,6011285_1_4_0,8,28.628137606929997,22.93702190447,12.814428961375
6011285_3_4,11:R34,6011285_1_4_0,11,28.628137606929997,24.2832144088325,11.4682364570125
6011285_3_4,11:R42,6011285_1_4_0,13,28.628137606929997,23.514816932953746,5.87782759068125
6011285_3_5,8:R43,6011285_1_5_3,1,17.82188697335,7.743174327385001,11.243174327385
6011285_3_5,8:R43,6011285_1_5_3,3,17.82188697335,9.471726699883751,11.71273118795125
6011285_3_5,8:R43,6011285_1_5_2,1,17.82188697335,7.743174327385001,11.243174327385
6011285_3_5,8:R43,6011285_1_5_2,3,17.82188697335,9.471726699883751,11.71273118795125
6011285_3_5,8:R43,6011285_1_5_4,1,17.82188697335,9.353174324051668,12.853174324051668
6011285_3_5,8:R43,6011285_1_5_4,3,17.82188697335,10.315060033217085,12.556064521284585
6011285_3_5,8:R42,6011285_1_5_3,1,17.82188697335,7.3719036014574995,10.8719036014575
6011285_3_5,8:R42,6011285_1_5_3,3,17.82188697335,8.527164331795,10.768168819862499
6011285_3_5,8:R42,6011285_1_5_2,1,17.82188697335,7.4085702681241665,10.908570268124166
6011285_3_5,8:R42,6011285_1_5_2,3,17.82188697335,8.527164331795,10.768168819862499
6011285_3_5,8:R42,6011285_1_5_4,1,17.82188697335,9.208570268124166,12.708570268124166
6011285_3_5,8:R42,6011285_1_5_4,3,17.82188697335,10.163830995128333,12.404835483195832
6011285_3_5,8:R41,6011285_1_5_3,1,17.82188697335,8.02880071166875,11.52880071166875
6011285_3_5,8:R41,6011285_1_5_3,3,17.82188697335,8.658298467635,10.899302955702499
6011285_3_5,8:R41,6011285_1_5_2,1,17.82188697335,8.02880071166875,11.52880071166875
6011285_3_5,8:R41,6011285_1_5_2,3,17.82188697335,8.758298467634999,10.999302955702499
6011285_3_5,8:R36,6011285_1_5_3,3,17.82188697335,7.6291284193883335,9.870132907455833
6011285_3_5,8:R36,6011285_1_5_2,3,17.82188697335,7.829128419388334,10.070132907455832
6011285_3_5,8:R36,6011285_1_5_3,3,17.82188697335,7.6291284193883335,9.870132907455833
6011285_3_5,8:R36,6011285_1_5_2,3,17.82188697335,7.829128419388334,10.070132907455832
6014126_1_4,10:229,6066152_1_6_1,13,15.491040467264998,12.08123945833875,26.45989534769375
6014126_1_4,10:229,6066152_1_6_3,13,15.491040467264998,12.08123945833875,26.45989534769375
6014126_1_4,10:229,6066152_1_6_4,13,15.491040467264998,12.08123945833875,26.45989534769375
6015479_1_1,3:235,6016562_1_1_1,3,6.91830960261,3.75398804166,23.5416351460425
6030543_1_1,3:A25,6034996_1_2_3,1,4.8482478449425,1.34610914705,7.1842507046725
6030543_1_1,3:A25,6034996_1_2_3,1,4.8482478449425,1.34610914705,7.1842507046725
6030582_1_4,3:626,6073513_1_6_1,5,29.84085496021,26.374704586396252,10.725195242463752
6030582_1_4,3:626,6073513_1_6_1,8,29.84085496021,28.130796668286667,8.829103153906667
6030582_1_4,3:626,6073513_1_6_4,5,29.84085496021,25.57470458639625,9.92519524246375
6030582_1_4,3:626,6073513_1_6_4,8,29.84085496021,27.330796668286666,8.029103153906666
6042220_2_2,8:G13,6110414_2_2_2,1,21.0400421028675,19.67604179268875,7.24569419929375
6042220_2_2,8:G13,6110414_2_2_2,4,21.0400421028675,20.50314050659,6.9585954853925
6042220_2_2,8:G12,6110414_2_2_2,1,21.0400421028675,19.478106269530834,7.047758676135833
6042220_2_2,8:G12,6110414_2_2_2,4,21.0400421028675,20.305204983432084,6.760659962234583
6044009_1_3,10:G21,6042911_1_3_0,1,11.662638744070001,4.458128765715,25.036877465602497
6044009_1_3,10:G21,6042911_1_3_0,2,11.662638744070001,5.72031734787375,23.774688883443748
6044009_1_3,10:G21,6042911_1_3_0,3,11.662638744070001,6.230123514965,23.2648827163525
6057248_1_1,3:G26,6076464_2_1_0,6,16.0650289776575,14.021891725361666,39.197850661894165
6057248_1_1,3:G24,6076464_2_1_2,5,16.0650289776575,10.306906023987501,37.98127969103
6057248_1_1,3:G24,6076464_2_1_2,6,16.0650289776575,11.5561133892425,36.732072325775
6057248_1_1,3:G24,6076464_2_1_4,5,16.0650289776575,10.306906023987501,37.98127969103
6057248_1_1,3:G24,6076464_2_1_4,6,16.0650289776575,11.5561133892425,36.732072325775
6057248_1_1,3:G22,6076464_2_1_2,5,16.0650289776575,10.035978394988334,37.710352062030836
6057248_1_1,3:G22,6076464_2_1_2,6,16.0650289776575,11.471852426909999,36.6478113634425
6057248_1_1,3:G22,6076464_2_1_4,5,16.0650289776575,10.035978394988334,37.710352062030836
