transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_arrival_time_transit_stop,taxi_destination_time,transit_destination_time,transit_original_destination_time,integration_distance,shared_distance,destinations_distance,taxi_private_cost,taxi_shared_cost,transit_shared_cost
6053864_1_2,10:D15,6068278_1_2_8,8,2010-06-23 16:16:57.000000,2010-06-23 16:21:39.000000,2010-06-23 16:37:42.000000,2010-06-23 16:46:22.000000,551.962,1297.914,7746.953,16.187455840364994,11.748319560999999,17.4811539564025
6060319_1_1,10:D16,6068018_1_1_6,1,2010-06-21 09:00:15.999999,2010-06-21 09:15:55.000002,2010-06-21 09:04:21.000000,2010-06-21 09:06:06.000000,1914.27,1117.4289999999999,2621.1279999999997,8.04048698748,6.426494615381249,5.35476229916125
6022639_2_2,3:629,6056214_1_4_8,1,2010-06-18 16:18:18.000000,2010-06-18 16:48:41.000001,2010-06-18 17:10:54.000002,2010-06-18 17:29:27.000000,2980.33,13200.692,12358.302,22.959368264505,14.7480222764525,37.945748456557496
6072510_2_1,3:627,6068772_1_1_9,1,2010-06-18 09:06:04.999999,2010-06-18 09:16:49.000000,2010-06-18 09:29:02.999999,2010-06-18 09:35:41.000000,2935.515,1976.46,3406.388,11.15699809282,4.238531858822917,12.530108653692913
6101692_3_2,10:A30,6030149_1_4_5,1,2010-05-21 17:37:10.000000,2010-05-21 17:49:43.999999,2010-05-21 17:38:53.000000,2010-05-21 17:42:09.000000,429.842,445.87199999999996,2633.375,8.083647105145,4.77093624768,4.6801791048674986
6016275_1_1,3:R15,6089960_3_5_0,1,2010-05-25 23:15:08.000000,2010-05-25 23:37:16.999999,2010-05-25 23:18:31.000001,2010-05-25 23:27:00.000001,1607.191,753.193,10567.781,21.243278420122497,18.322957660790838,5.406676041413333
6130375_1_4,11:120,6102612_1_2_4,1,2010-11-12 18:11:05.000000,2010-11-12 18:17:35.999999,2010-11-12 18:27:30.000000,2010-11-12 18:29:48.000000,2273.208,4753.388,9445.087,16.1884407134,5.457653728895,24.1299116145875
6031044_3_7,10:121,6028005_1_3_4,1,2010-05-20 22:38:45.999999,2010-05-20 23:00:07.000000,2010-05-20 22:44:13.000001,2010-05-20 22:49:11.000000,1224.839,1305.1480000000001,7637.4,15.937728544889998,13.975889548721248,5.61174236022125
6033716_1_1,4:107S,6071177_1_1_7,1,2010-11-12 08:09:02.000000,2010-11-12 08:12:55.000000,2010-11-12 08:38:38.999999,2010-11-12 09:02:30.000000,1005.325,1419.392,19544.532,6.035454811817501,1.9766443670920837,35.337657850522085
6008587_1_1,10:629,6035175_1_1_5,1,2010-06-03 06:07:28.000000,2010-06-03 06:09:38.000000,2010-06-03 06:08:53.000001,2010-06-03 06:17:49.000000,558.6080000000001,613.4019999999999,403.577,5.947561727869999,1.6239105589716667,4.496982948804167
6059156_1_2,3:629,6068388_2_2_0,1,2010-06-18 18:23:03.000000,2010-06-18 18:29:29.000000,2010-06-18 19:04:38.999999,2010-06-18 19:05:22.000001,3967.453,1876.7720000000002,19189.215,10.0437650315,4.70928991559375,38.518344200006254
6031044_3_8,10:120,6101316_2_3_7,1,2010-05-20 22:47:21.000000,2010-05-20 23:05:31.000000,2010-05-20 22:50:09.000000,2010-05-20 22:55:51.000000,817.924,815.8560000000001,8658.136,15.937728544889998,14.718765951615,4.768979390475001
6030915_1_8,10:120,6101316_2_3_7,1,2010-05-20 22:47:21.000000,2010-05-20 23:05:31.000000,2010-05-20 22:50:09.000000,2010-05-20 22:55:51.000000,817.924,815.8560000000001,8658.136,15.937728544889998,14.718765951615,4.768979390475001
6101215_1_1,4:D17N,6043133_1_3_5,1,2010-09-24 09:01:31.999998,2010-09-24 09:15:41.000000,2010-09-24 09:06:29.000000,2010-09-24 09:10:41.000000,3212.8459999999995,915.322,2210.048,8.0831798354625,6.8328875274300005,6.39973818791
6010967_1_3,10:635,6027153_1_2_7,1,2010-05-19 19:12:34.999999,2010-05-19 19:18:21.000000,2010-05-19 19:37:25.000002,2010-05-19 19:41:15.999999,3448.198,1499.616,9841.832,11.18017802598,3.9063685029091664,23.19494098208917
6066269_1_2,3:723,6071689_1_2_1,3,2010-06-25 09:01:22.000000,2010-06-25 09:08:39.999999,2010-06-25 09:04:45.999999,2010-06-25 09:06:54.000000,1109.474,1019.855,1130.9,5.7667025337524995,4.569588874817916,4.660545779240416
6010681_2_2,3:629,6029347_1_2_6,1,2010-05-17 17:54:09.000000,2010-05-17 18:00:56.999998,2010-05-17 18:26:47.000001,2010-05-17 18:48:52.000001,1181.5910000000001,1999.99,26494.65,8.17702363217,2.4711777094387504,47.62869562231375
6018706_2_1,10:723,6068278_1_2_1,1,2010-06-23 16:20:41.000000,2010-06-23 16:33:51.000000,2010-06-23 16:29:45.999999,2010-06-23 16:31:30.000000,5934.555,1019.855,1703.58,16.187455840364994,9.111307223920832,10.464919203470835
6030915_1_7,10:121,6028005_1_3_4,1,2010-05-20 22:38:45.999999,2010-05-20 23:00:07.000000,2010-05-20 22:44:13.000001,2010-05-20 22:49:11.000000,1224.839,1305.1480000000001,7637.4,15.937728544889998,13.975889548721248,5.61174236022125
6091892_2_1,3:R16,6028436_1_2_2,1,2010-06-04 08:58:36.000001,2010-06-04 09:11:43.000001,2010-06-04 08:59:46.000000,2010-06-04 09:02:55.000001,2569.194,164.516,3240.2490000000003,8.676398068880001,7.236802045626668,5.203310142179167
6056696_1_1,10:F20,6088357_1_1_4,1,2010-06-20 10:39:13.000000,2010-06-20 11:08:41.999999,2010-06-20 10:43:07.000000,2010-06-20 10:51:08.000000,2467.317,861.437,17434.326,31.556076750615002,29.825117121199174,5.742155668834166
6020375_1_2,10:635,6066152_1_5_6,4,2010-06-18 22:12:05.000000,2010-06-18 22:15:40.000000,2010-06-18 22:44:12.000000,2010-06-18 22:49:11.000000,3160.4590000000003,700.549,14877.886999999999,15.171105859929998,4.279178330270833,29.773950143485827
6073851_1_2,3:137,6066257_1_2_5,1,2010-06-14 17:26:12.000000,2010-06-14 17:26:45.000000,2010-06-14 17:51:49.000000,2010-06-14 18:17:53.000000,763.1,144.209,17616.652,5.4094387515974995,0.7047193757987501,32.07091105052875
6068157_1_6,10:629,6027444_1_5_9,1,2010-06-07 22:14:39.000001,2010-06-07 23:01:10.000000,2010-06-07 22:35:40.999999,2010-06-07 22:48:29.000000,1626.253,1880.396,7399.687,19.349457672612505,17.348539768582913,9.353662491390416
6060175_1_1,3:D17,6068768_1_1_4,4,2010-06-11 09:33:57.000000,2010-06-11 09:38:35.000000,2010-06-11 09:36:37.000001,2010-06-11 09:42:37.999999,1462.382,917.0360000000001,558.612,8.8040354394175,6.4547833068700005,4.8481266775975005
6006491_1_1,3:221,6033603_2_1_1,5,2010-06-01 09:18:59.999998,2010-06-01 09:55:55.000000,2010-06-01 09:42:59.000000,2010-06-01 09:52:58.000001,5871.189,14670.333999999999,4006.26,34.1861149466275,24.456206580750422,19.274883366707922
6016709_1_1,3:A42,6014457_2_3_4,5,2010-06-03 09:52:54.000000,2010-06-03 10:13:50.000002,2010-06-03 09:54:13.000000,2010-06-03 09:58:03.000000,3456.413,818.184,11405.546999999999,26.908074095002497,23.261923596236247,6.320138265608749
6077036_1_1,10:725,6068772_1_1_1,7,2010-06-18 09:06:26.999999,2010-06-18 09:19:42.000001,2010-06-18 09:09:18.000000,2010-06-18 09:17:15.000000,3836.04,934.323,2841.3759999999997,11.15699809282,10.15939177187375,6.705206534591251
6034213_1_3,3:A34,6027153_1_2_7,1,2010-05-19 19:02:51.000000,2010-05-19 19:22:42.000000,2010-05-19 19:07:41.000000,2010-05-19 19:08:08.000000,1127.965,1084.735,3535.29,11.18017802598,7.2104512211000005,5.718634514625
6098773_4_2,4:D17S,6105785_1_4_5,1,2010-09-24 18:09:23.000001,2010-09-24 18:16:23.000000,2010-09-24 18:34:41.000000,2010-09-24 18:35:08.000000,1906.7089999999998,1541.066,9533.37,8.3635778475,2.8012675794062503,21.610666705081247
6041426_1_1,10:G14,6077968_1_1_6,1,2010-06-18 07:25:33.000000,2010-06-18 07:39:45.999999,2010-06-18 07:52:35.000000,2010-06-18 07:58:47.000000,1566.247,9964.913,10049.844000000001,19.465789353802503,8.95641052545,27.568114565760002
6109872_3_2,3:626,6035118_4_4_5,2,2010-06-11 17:13:31.000000,2010-06-11 17:16:12.000001,2010-06-11 17:47:16.999999,2010-06-11 17:50:48.000000,1228.402,1044.128,17769.621,9.082848955405,3.592198567535,33.368923224265
6130969_2_1,10:213,6084792_1_1_2,1,2010-06-23 07:36:25.000000,2010-06-23 07:37:56.000000,2010-06-23 07:56:55.000003,2010-06-23 08:19:12.000000,2848.1040000000003,591.993,16950.823,9.494380173844998,2.67197064123375,32.00384523706625
6018421_1_2,11:M11,6128929_1_4_9,1,2010-11-12 16:06:27.000001,2010-11-12 16:18:50.000000,2010-11-12 16:09:19.000000,2010-11-12 16:19:01.000001,1742.3229999999999,1402.864,2979.441,8.1505237124475,7.07125557324875,6.44290998922125
6104383_3_2,3:122,6007906_3_3_3,1,2010-05-27 12:38:40.000000,2010-05-27 13:11:42.000000,2010-05-27 12:49:19.000001,2010-05-27 12:56:22.000000,1700.852,8424.64,14562.27,35.41768314262,30.486039542340002,10.864608861915
6020853_3_3,3:D20,6027185_2_4_4,2,2010-06-04 21:07:49.000001,2010-06-04 21:12:13.000000,2010-06-04 21:42:54.999996,2010-06-04 21:49:11.000001,656.931,763.3710000000001,16069.245,9.343821824547499,5.829894565748331,29.702241843123325
6068416_1_2,10:628,6069024_1_1_7,13,2010-06-13 19:53:29.000001,2010-06-13 20:08:42.999998,2010-06-13 19:56:39.000001,2010-06-13 20:07:03.000000,1504.5510000000002,1157.744,4079.7070000000003,32.3777637801675,31.534120765601248,5.06784113305625
6065563_1_1,10:724,6067397_1_1_2,1,2010-06-14 08:49:28.999999,2010-06-14 09:01:41.999998,2010-06-14 08:53:06.000000,2010-06-14 08:56:54.000000,3223.6609999999996,946.323,2743.518,13.58740998109,7.524073554691666,6.2622172467466655
6035752_1_3,10:628,6029304_3_5_6,1,2010-06-11 19:10:41.000000,2010-06-11 19:13:57.000000,2010-06-11 19:26:18.000000,2010-06-11 19:29:57.999999,2248.322,958.924,5837.118,8.982200834252499,2.5944454011658333,15.661985023110836
6031779_1_4,3:R21,6028169_1_2_0,1,2010-05-24 20:57:54.000000,2010-05-24 21:14:04.999999,2010-05-24 21:01:26.999999,2010-05-24 21:08:38.000001,980.3710000000001,679.507,3053.8109999999997,8.153804707325,6.113124053124999,4.8692500659225
6061406_1_1,3:D14,6068772_1_1_7,1,2010-06-18 09:07:10.000002,2010-06-18 09:17:59.000000,2010-06-18 09:09:06.000000,2010-06-18 09:15:19.000000,4827.351,421.561,2355.199,11.15699809282,7.862199677512501,7.203568782939999
6065050_1_2,3:D15,6065477_1_6_8,1,2010-06-17 15:14:53.000000,2010-06-17 15:19:11.000000,2010-06-17 15:44:08.000001,2010-06-17 15:51:32.000001,1229.461,1227.2910000000002,13677.361,5.3659337730275,1.90819305874,26.154981763567505
6033645_1_1,3:213,6084792_1_1_2,1,2010-06-23 07:36:25.000000,2010-06-23 07:37:56.000000,2010-06-23 07:56:55.000003,2010-06-23 08:19:12.000000,2848.1040000000003,591.993,16950.823,9.494380173844998,2.67197064123375,32.00384523706625
6065050_1_1,10:A25,6068162_1_3_4,1,2010-06-17 13:35:51.000001,2010-06-17 13:52:32.999999,2010-06-17 13:41:07.000000,2010-06-17 13:45:50.000000,1105.0639999999999,1189.276,2778.518,7.8470340006225,6.328271692286665,5.012045421841666
6073662_1_1,10:R13,6068772_1_1_9,1,2010-06-18 09:07:57.000000,2010-06-18 09:12:44.000000,2010-06-18 09:28:16.000000,2010-06-18 09:39:30.000000,2983.71,1092.792,4731.388,11.15699809282,3.2962751553025003,13.6461433876725
6103332_3_1,13:404139,6029556_2_1_7,1,2010-10-19 10:34:10.000000,2010-10-19 10:42:12.000001,2010-10-19 10:57:40.000001,2010-10-19 11:09:10.000001,1543.579,1864.092,6860.972,6.61790157895,2.7934515878429167,16.451474169372915
6073085_2_3,10:131,6068214_1_2_9,1,2010-06-18 14:11:57.000000,2010-06-18 14:33:23.000000,2010-06-18 14:52:14.000002,2010-06-18 15:00:57.000000,1892.45,3839.522,17728.724,8.804049420264997,5.302101467015,35.84238886852499
6068563_1_4,10:628,6072616_1_2_2,4,2010-06-23 19:45:30.000001,2010-06-23 19:53:32.000000,2010-06-23 19:52:11.000000,2010-06-23 19:56:26.999999,3697.679,1336.01,528.625,14.824102622409999,8.514930496072916,8.309735456190419
6038052_1_2,10:723,6068018_1_4_2,1,2010-06-21 17:06:47.000001,2010-06-21 17:10:21.000000,2010-06-21 17:32:15.000002,2010-06-21 17:45:48.000000,681.435,1142.9360000000001,16643.624,6.07762850302,1.41701404080125,31.27167726206125
6033415_1_4,10:119,6031163_2_5_8,11,2010-05-21 22:12:02.000000,2010-05-21 22:14:39.000000,2010-05-21 22:38:21.000000,2010-05-21 22:40:54.000000,280.96299999999997,888.722,13752.683,12.96011871289,9.641821099702083,25.865639726984586
6065477_1_8,10:632,6067391_2_2_0,1,2010-06-17 21:29:04.000000,2010-06-17 21:47:21.000000,2010-06-17 21:33:57.000000,2010-06-17 21:38:59.000000,2328.0860000000002,961.633,3440.2070000000003,12.740422121847502,8.205948807095417,6.361836647602918
