transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_arrival_time_transit_stop,taxi_destination_time,transit_destination_time,transit_original_destination_time,integration_distance,shared_distance,destinations_distance,taxi_private_cost,taxi_shared_cost,transit_shared_cost
6053864_1_2,10:B08,6068278_1_2_3,5,2010-06-23 16:13:25.000000,2010-06-23 16:24:13.999999,2010-06-23 16:40:42.000000,2010-06-23 16:46:22.000000,3062.157,3246.542,7746.953,15.1874558404,-31.9620038266,64.0348624105
6022639_2_2,3:629,6056214_1_4_4,1,2010-06-18 16:17:18.000000,2010-06-18 16:48:41.000001,2010-06-18 17:10:54.000002,2010-06-18 17:29:27.000000,2980.33,13200.692,12358.302,22.9593682645,-119.584178212,172.677948945
6066552_2_2,3:D17,6102660_3_3_2,1,2010-05-17 18:58:57.000000,2010-05-17 19:31:09.000001,2010-05-17 19:16:23.000000,2010-05-17 19:25:12.000000,741.939,1541.066,4339.453,9.05095708883,-25.1249053734,43.8324137482
6042285_1_3,10:G21,6021321_1_4_2,7,2010-05-26 19:51:36.999999,2010-05-26 20:47:20.000000,2010-05-26 20:19:08.999999,2010-05-26 20:35:05.000000,3629.598,8057.775,24064.22,39.7331634559,-52.3022892434,123.544099805
6064700_1_2,10:A41,6025391_2_2_2,4,2010-06-14 17:00:42.000001,2010-06-14 18:15:37.000003,2010-06-14 17:36:53.000001,2010-06-14 17:41:51.000000,5179.454,11053.967,32636.874,30.9202166203,-55.1663330136,137.687212969
6016275_1_1,3:R15,6124187_3_5_4,1,2010-05-25 23:15:08.000000,2010-05-25 23:37:16.999999,2010-05-25 23:18:31.000001,2010-05-25 23:27:00.000001,1607.191,753.193,10567.781,21.2432784201,1.16287328807,22.5667604141
6130375_1_4,11:116,6102612_1_2_0,1,2010-11-12 18:12:04.000000,2010-11-12 18:35:02.000000,2010-11-12 18:23:25.000000,2010-11-12 18:29:48.000000,1026.601,3610.576,9884.238,16.1884407134,-21.1929593043,49.6842580375
6031044_3_7,10:116,6101316_2_3_2,1,2010-05-20 22:37:24.000001,2010-05-20 23:00:07.000000,2010-05-20 22:44:35.000001,2010-05-20 22:49:11.000000,4416.438,5187.135,7637.4,15.9377285449,-47.8096703973,78.0922719823
6057309_1_1,8:L06,6101719_1_1_4,1,2010-11-12 09:14:49.000000,2010-11-12 09:43:28.000000,2010-11-12 09:24:20.000001,2010-11-12 09:29:24.000000,2167.988,607.728,5318.079,8.73934605804,-19.6795774339,37.9260344996
6033716_1_1,4:107S,6071177_1_1_2,1,2010-11-12 08:08:02.000000,2010-11-12 08:12:55.000000,2010-11-12 08:38:38.999999,2010-11-12 09:02:30.000000,1005.325,1419.392,19544.532,6.03545481182,-17.4131549367,55.1274571544
6100582_1_2,8:R30,6067480_2_4_4,1,2010-10-04 17:21:14.000000,2010-10-04 17:54:06.999999,2010-10-04 17:27:12.999999,2010-10-04 17:30:51.000000,4004.767,1485.95,7889.237,10.7907694806,-21.8623654203,46.6471539126
6008587_1_1,10:629,6035175_1_1_4,1,2010-06-03 06:05:28.000000,2010-06-03 06:09:38.000000,2010-06-03 06:08:53.000001,2010-06-03 06:17:49.000000,558.608,613.402,403.577,5.94756172787,-10.5489359803,17.469829488
6031044_3_8,10:122,6101316_2_3_2,1,2010-05-20 22:37:30.000000,2010-05-20 23:04:31.000000,2010-05-20 22:49:20.000000,2010-05-20 22:55:51.000000,1784.055,2863.479,8658.136,15.9377285449,-24.38864193,50.7980356139
