transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_arrival_time_transit_stop,taxi_destination_time,transit_destination_time,transit_original_destination_time,integration_distance,shared_distance,destinations_distance,taxi_private_cost,taxi_shared_cost,transit_shared_cost
6053864_1_2,10:D15,6068278_1_2_1,2,2010-06-23 16:19:46.999999,2010-06-23 16:23:39.000000,2010-06-23 16:39:42.000000,2010-06-23 16:46:22.000000,5865.309,1297.914,7746.953,16.1874558404,7.61136988758,21.5981036298
6022639_2_2,3:629,6056214_1_4_4,1,2010-06-18 16:17:18.000000,2010-06-18 16:48:41.000001,2010-06-18 17:10:54.000002,2010-06-18 17:29:27.000000,2980.33,13200.692,12358.302,22.9593682645,14.9480222765,38.1457484566
6072510_2_1,3:627,6068772_1_1_2,1,2010-06-18 09:06:04.999999,2010-06-18 09:16:49.000000,2010-06-18 09:29:02.999999,2010-06-18 09:35:41.000000,2935.515,1976.46,3406.388,11.1569980928,4.23853185882,12.5301086537
6061249_1_1,3:R17,6067397_1_1_0,1,2010-06-14 08:38:06.000000,2010-06-14 08:55:56.000000,2010-06-14 08:42:12.000000,2010-06-14 08:47:01.000000,2340.299,626.239,4633.209,13.5874099811,9.68150512834,5.4841508545
6029412_1_4,3:629,6005839_3_4_1,1,2010-06-05 21:48:42.999999,2010-06-05 22:17:15.000000,2010-06-05 21:54:44.000000,2010-06-05 21:58:25.000000,21546.565,163.591,17592.252,60.7783391752,45.3075313936,21.4792433498
6130375_1_4,11:120,6102612_1_2_1,1,2010-11-12 18:09:05.000000,2010-11-12 18:17:35.999999,2010-11-12 18:27:30.000000,2010-11-12 18:29:48.000000,2273.208,4753.388,9445.087,16.1884407134,5.84098706223,24.5132449479
6031044_3_7,10:121,6028005_1_3_4,1,2010-05-20 22:38:45.999999,2010-05-20 23:00:07.000000,2010-05-20 22:44:13.000001,2010-05-20 22:49:11.000000,1224.839,1305.148,7637.4,15.9377285449,13.9758895487,5.61174236022
6033716_1_1,4:107S,6071177_1_1_1,1,2010-11-12 08:10:02.000000,2010-11-12 08:13:55.000000,2010-11-12 08:39:38.999999,2010-11-12 09:02:30.000000,1005.325,1419.392,19544.532,6.03545481182,1.88331103376,35.2443245172
6008587_1_1,10:629,6035175_1_1_4,1,2010-06-03 06:05:28.000000,2010-06-03 06:09:38.000000,2010-06-03 06:08:53.000001,2010-06-03 06:17:49.000000,558.608,613.402,403.577,5.94756172787,2.02391055897,4.8969829488
6035763_1_1,10:A21,6033603_5_1_2,1,2010-06-01 09:21:43.000001,2010-06-01 09:52:38.000000,2010-06-01 09:30:34.000000,2010-06-01 09:37:26.000000,10194.926,1296.613,13590.556,34.1861149466,31.174246444,13.0623030133
6059156_1_2,3:250,6074358_2_1_4,1,2010-06-18 18:56:03.000000,2010-06-18 19:23:48.000002,2010-06-18 18:57:34.000000,2010-06-18 19:05:22.000001,18969.807,548.339,10534.089,36.2797247998,31.6139559128,19.2500123727
6031044_3_8,10:120,6101316_2_3_3,1,2010-05-20 22:46:21.000000,2010-05-20 23:04:31.000000,2010-05-20 22:49:09.000000,2010-05-20 22:55:51.000000,817.924,815.856,8658.136,15.9377285449,14.7187659516,4.76897939048
6059156_1_1,10:629,6077968_1_1_4,1,2010-06-18 07:41:02.000000,2010-06-18 08:07:17.000001,2010-06-18 07:53:14.000001,2010-06-18 08:03:35.000000,5653.933,2769.631,3942.424,19.4657893538,13.0603011744,9.93603131614
6030915_1_8,10:120,6101316_2_3_3,1,2010-05-20 22:46:21.000000,2010-05-20 23:04:31.000000,2010-05-20 22:49:09.000000,2010-05-20 22:55:51.000000,817.924,815.856,8658.136,15.9377285449,14.7187659516,4.76897939048
6010967_1_3,10:635,6027153_1_2_2,1,2010-05-19 19:09:34.999999,2010-05-19 19:18:21.000000,2010-05-19 19:37:25.000002,2010-05-19 19:41:15.999999,3448.198,1499.616,9841.832,11.180178026,4.50636850291,23.7949409821
6066269_1_2,3:723,6071689_1_2_2,3,2010-06-25 09:01:22.000000,2010-06-25 09:08:39.999999,2010-06-25 09:04:45.999999,2010-06-25 09:06:54.000000,1109.474,1019.855,1130.9,5.76670253375,4.56958887482,4.66054577924
6016272_1_2,10:A41,6021321_1_4_0,1,2010-05-26 20:06:47.000000,2010-05-26 20:29:04.000000,2010-05-26 20:15:46.999999,2010-05-26 20:26:36.000000,13382.31,3010.502,6458.593,39.7331634559,22.7654784591,16.7325224816
6041108_1_3,3:124,6030293_2_4_2,1,2010-05-25 21:07:59.999999,2010-05-25 21:19:41.999999,2010-05-25 21:46:43.000000,2010-05-25 21:58:02.999999,2359.756,2956.476,19389.993,8.12747721805,4.12919049259,37.7501388436
6018706_2_1,3:G26,6068278_1_2_3,1,2010-06-23 16:15:02.000001,2010-06-23 16:30:51.000000,2010-06-23 16:26:44.000002,2010-06-23 16:31:30.000000,7534.307,5366.151,1703.58,15.1874558404,12.6663511303,13.0199631099
6030915_1_7,10:121,6028005_1_3_4,1,2010-05-20 22:38:45.999999,2010-05-20 23:00:07.000000,2010-05-20 22:44:13.000001,2010-05-20 22:49:11.000000,1224.839,1305.148,7637.4,15.9377285449,13.9758895487,5.61174236022
6091892_2_1,3:R16,6028436_2_2_0,1,2010-06-04 08:59:36.000001,2010-06-04 09:11:43.000001,2010-06-04 08:59:46.000000,2010-06-04 09:02:55.000001,2569.194,164.516,3240.249,8.67639806888,7.15680204896,5.12331014551
6056696_1_1,10:A41,6088357_1_1_3,1,2010-06-20 10:41:26.999999,2010-06-20 11:09:41.999999,2010-06-20 10:44:16.000000,2010-06-20 10:51:08.000000,1786.449,535.878,17434.326,31.5560767506,29.0967447686,5.01378331623
6045275_2_3,10:F09,6014760_1_4_4,1,2010-05-16 19:21:59.999999,2010-05-16 20:20:23.000000,2010-05-16 20:02:07.000001,2010-05-16 20:13:18.000000,5502.711,15660.494,15965.855,49.9748646725,45.2395505389,23.4377523209
6020375_1_2,10:635,6066152_1_5_1,4,2010-06-18 22:12:05.000000,2010-06-18 22:15:40.000000,2010-06-18 22:44:12.000000,2010-06-18 22:49:11.000000,3160.459,700.549,14877.887,15.1711058599,4.27917833027,29.7739501435
6020902_1_1,3:D37,6046978_1_1_2,7,2010-05-23 09:52:56.999999,2010-05-23 10:02:54.000000,2010-05-23 10:25:48.000000,2010-05-23 10:29:34.000000,22407.043,8140.994,18448.542,47.3180671344,26.5221562604,55.3855528511
6073851_1_2,3:132,6067994_1_5_0,1,2010-06-14 17:38:51.000002,2010-06-14 17:46:24.000000,2010-06-14 18:09:43.000001,2010-06-14 18:17:53.000000,4571.637,2300.053,14893.495,14.5983958204,5.33733610874,32.4733008128
6068157_1_6,10:629,6027450_2_5_3,1,2010-06-07 22:13:39.000001,2010-06-07 23:01:10.000000,2010-06-07 22:35:40.999999,2010-06-07 22:48:29.000000,1626.253,1880.396,7399.687,19.3494576726,17.5485397686,9.55366249139
6060175_1_1,3:D17,6068768_1_1_3,4,2010-06-11 09:33:57.000000,2010-06-11 09:38:35.000000,2010-06-11 09:36:37.000001,2010-06-11 09:42:37.999999,1462.382,917.036,558.612,8.80403543942,6.45478330687,4.8481266776
6006491_1_1,3:214,6033603_2_1_2,1,2010-06-01 09:07:53.999999,2010-06-01 09:46:55.000000,2010-06-01 09:33:11.999999,2010-06-01 09:52:58.000001,7088.038,19350.481,4006.26,34.1861149466,26.9185956964,23.6951612403
6023565_1_2,3:J27,6027174_2_3_1,1,2010-05-26 13:07:56.000001,2010-05-26 13:51:26.000001,2010-05-26 13:14:39.999999,2010-05-26 13:27:45.000000,13146.224,2722.739,15590.146,49.8641410206,36.5438032858,15.3256417603
6016709_1_1,3:A42,6014575_1_3_4,1,2010-06-03 09:51:00.000000,2010-06-03 10:13:50.000002,2010-06-03 09:54:13.000000,2010-06-03 09:58:03.000000,4888.147,818.184,11405.547,26.908074095,22.4498761121,7.73218574975
6055629_1_1,3:619,6055122_1_1_0,1,2010-06-13 08:26:00.000001,2010-06-13 08:45:53.000001,2010-06-13 08:30:48.000000,2010-06-13 08:40:44.000000,9246.856,1312.92,12296.255,36.7095880161,27.5032638768,11.4019232128
6034213_1_3,3:A34,6027153_1_2_2,1,2010-05-19 18:59:51.000000,2010-05-19 19:22:42.000000,2010-05-19 19:07:41.000000,2010-05-19 19:08:08.000000,1127.965,1084.735,3535.29,11.180178026,7.6404512211,6.14863451462
6098773_4_2,4:D17S,6105785_1_4_1,1,2010-09-24 18:09:23.000001,2010-09-24 18:16:23.000000,2010-09-24 18:34:41.000000,2010-09-24 18:35:08.000000,1906.709,1541.066,9533.37,8.3635778475,2.80126757941,21.6106667051
6106408_2_2,11:D17,6109155_2_2_0,1,2010-10-08 18:16:27.000001,2010-10-08 18:41:37.000001,2010-10-08 18:19:57.000000,2010-10-08 18:22:45.000000,8246.532,876.806,19493.334,42.9072476912,37.4777031694,11.1962220672
6041426_1_1,10:F09,6077968_1_1_0,1,2010-06-18 07:37:43.999999,2010-06-18 08:06:37.000000,2010-06-18 07:48:38.000001,2010-06-18 07:58:47.000000,3382.208,4366.67,8617.143,19.4657893538,19.4047669973,9.01866008967
6043242_1_2,10:723,6031905_1_1_4,3,2010-06-01 17:11:00.000000,2010-06-01 17:12:06.000000,2010-06-01 17:30:39.999998,2010-06-01 17:48:16.000000,3798.686,277.101,15933.386,12.1228584167,4.57434456056,31.9170797855
6109872_3_2,3:626,6029304_2_4_4,2,2010-06-11 17:12:31.000000,2010-06-11 17:15:12.000001,2010-06-11 17:46:16.999999,2010-06-11 17:50:48.000000,1228.402,1044.128,17769.621,9.0828489554,3.59219856753,33.3689232243
6130969_2_1,10:213,6084792_2_1_4,1,2010-06-23 07:39:25.000000,2010-06-23 07:40:56.000000,2010-06-23 07:59:55.000003,2010-06-23 08:19:12.000000,2848.104,591.993,16950.823,9.49438017384,2.67197064123,32.0038452371
6069569_1_1,10:723,6077968_1_1_0,1,2010-06-18 07:41:07.000000,2010-06-18 07:59:43.999999,2010-06-18 07:42:06.000000,2010-06-18 07:46:27.000000,7194.425,277.101,8057.518,19.4657893538,18.3200070206,8.80323697768
6041552_2_1,3:G19,6033603_5_1_2,1,2010-06-01 09:24:11.999998,2010-06-01 09:56:17.999999,2010-06-01 09:40:50.000001,2010-06-01 09:55:29.000001,12407.777,7990.842,7709.905,34.1861149466,28.0006663144,19.023887865
6104383_3_2,3:122,6007906_1_3_2,1,2010-05-27 12:37:40.000000,2010-05-27 13:11:42.000000,2010-05-27 12:49:19.000001,2010-05-27 12:56:22.000000,1700.852,8424.64,14562.27,35.4176831426,30.672706209,11.0512755286
6020853_3_3,3:D20,6027185_1_5_2,1,2010-06-04 21:08:42.999999,2010-06-04 21:12:13.000000,2010-06-04 21:42:54.999996,2010-06-04 21:49:11.000001,7654.792,763.371,16069.245,15.7508512166,6.53850295184,35.0009100391
6034358_1_1,3:A27,6033603_5_1_2,1,2010-06-01 09:24:31.000001,2010-06-01 09:56:17.000001,2010-06-01 09:36:16.999999,2010-06-01 09:38:59.000000,12810.006,2395.593,8945.911,34.1861149466,26.2038886436,15.3070644836
6021623_1_1,3:R19,6033603_2_1_4,5,2010-06-01 09:04:51.000000,2010-06-01 09:23:03.000001,2010-06-01 09:05:31.000000,2010-06-01 09:10:21.000000,14291.743,239.482,3786.236,34.1861149466,19.1261341436,14.2866022618
6068416_1_2,10:628,6069024_1_1_4,1,2010-06-13 19:51:57.000000,2010-06-13 20:06:42.999998,2010-06-13 19:54:39.000001,2010-06-13 20:07:03.000000,15540.254,1157.744,4079.707,32.3777637802,19.3070936898,15.9695646441
6065563_1_1,10:724,6067397_1_1_4,1,2010-06-14 08:46:28.999999,2010-06-14 09:01:41.999998,2010-06-14 08:53:06.000000,2010-06-14 08:56:54.000000,3223.661,946.323,2743.518,13.5874099811,8.12407355469,6.86221724675
6035752_1_3,10:628,6035118_4_5_2,1,2010-06-11 19:11:41.000000,2010-06-11 19:13:57.000000,2010-06-11 19:26:18.000000,2010-06-11 19:29:57.999999,2248.322,958.924,5837.118,8.98220083425,2.49111206783,15.5586516898
6065050_1_2,3:D15,6065477_1_6_2,1,2010-06-17 15:14:53.000000,2010-06-17 15:19:11.000000,2010-06-17 15:44:08.000001,2010-06-17 15:51:32.000001,1229.461,1227.291,13677.361,5.36593377303,1.90819305874,26.1549817636
6033645_1_1,3:213,6084792_2_1_4,1,2010-06-23 07:39:25.000000,2010-06-23 07:40:56.000000,2010-06-23 07:59:55.000003,2010-06-23 08:19:12.000000,2848.104,591.993,16950.823,9.49438017384,2.67197064123,32.0038452371
6057412_2_4,10:M21,6063673_1_3_4,1,2010-06-18 17:23:40.999998,2010-06-18 18:04:56.000000,2010-06-18 17:44:43.000000,2010-06-18 18:01:36.000000,9956.539,10316.085,10824.601,34.3536828591,32.6245920193,19.8093591494
6065050_1_1,10:A25,6068162_1_3_2,1,2010-06-17 13:37:51.000001,2010-06-17 13:52:32.999999,2010-06-17 13:41:07.000000,2010-06-17 13:45:50.000000,1105.064,1189.276,2778.518,7.84703400062,6.09827169562,4.78204542517
6073662_1_1,10:R13,6068772_1_1_2,1,2010-06-18 09:07:57.000000,2010-06-18 09:12:44.000000,2010-06-18 09:28:16.000000,2010-06-18 09:39:30.000000,2983.71,1092.792,4731.388,11.1569980928,3.2962751553,13.6461433877
6103332_3_1,13:404139,6103005_1_1_1,1,2010-10-19 10:33:10.000000,2010-10-19 10:42:12.000001,2010-10-19 10:57:40.000001,2010-10-19 11:09:10.000001,1543.579,1864.092,6860.972,6.61790157895,2.99345158784,16.6514741694
6073085_2_3,10:127,6068214_1_2_2,1,2010-06-18 14:16:24.999999,2010-06-18 14:30:36.000000,2010-06-18 14:49:14.000002,2010-06-18 15:00:57.000000,2588.827,2179.164,17728.724,8.80404942026,4.62003083958,35.1603182411
6068563_1_4,10:627,6072616_1_2_1,1,2010-06-23 19:50:58.000000,2010-06-23 19:53:32.000000,2010-06-23 19:52:25.999999,2010-06-23 19:56:26.999999,6491.187,723.367,528.625,14.8241026224,6.4248239041,9.60364329192
6077889_2_1,10:G19,6033603_5_1_2,1,2010-06-01 09:24:11.999998,2010-06-01 09:56:17.999999,2010-06-01 09:40:50.000001,2010-06-01 09:55:29.000001,12407.777,7990.842,7709.905,34.1861149466,28.0006663144,19.023887865
6038052_1_2,10:723,6103026_2_4_2,1,2010-06-21 17:05:47.000001,2010-06-21 17:10:21.000000,2010-06-21 17:32:09.999999,2010-06-21 17:45:48.000000,681.435,1142.936,16643.624,6.07762850302,1.5403473708,31.3950105921
6103275_1_1,13:401248,6035715_2_1_1,1,2010-10-12 11:00:56.000000,2010-10-12 11:10:57.999999,2010-10-12 11:26:53.000002,2010-10-12 11:27:44.000000,3096.7,2733.997,9857.626,12.7871757853,4.52878253198,22.8418898451
6033415_1_4,10:119,6031163_2_5_1,11,2010-05-21 22:13:02.000000,2010-05-21 22:15:39.000000,2010-05-21 22:39:21.000000,2010-05-21 22:40:54.000000,280.963,888.722,13752.683,12.9601187129,9.54848776637,25.7723063937
6078202_1_2,3:F11,6072510_1_2_1,2,2010-06-18 17:50:37.000000,2010-06-18 17:53:04.999999,2010-06-18 18:10:34.000000,2010-06-18 18:30:25.000001,505.942,861.555,9678.769,7.57141060073,3.51319046817,20.0974196537
6089330_2_2,3:D15,6065477_1_6_2,1,2010-06-17 15:14:53.000000,2010-06-17 15:19:11.000000,2010-06-17 15:44:08.000001,2010-06-17 15:51:32.000001,1229.461,1227.291,13677.361,5.36593377303,1.90819305874,26.1549817636
6089330_2_1,3:A25,6068162_1_3_2,1,2010-06-17 13:37:51.000001,2010-06-17 13:52:32.999999,2010-06-17 13:41:07.000000,2010-06-17 13:45:50.000000,1105.064,1189.276,2778.518,7.84703400062,6.09827169562,4.78204542517
6031717_1_3,3:137,6016515_1_2_4,1,2010-05-13 13:56:25.000000,2010-05-13 14:10:20.000000,2010-05-13 13:56:45.000000,2010-05-13 14:00:22.000000,675.043,144.209,8137.576,16.6876675745,13.2941253015,3.65299095978
