transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_arrival_time_transit_stop,taxi_destination_time,transit_destination_time,transit_original_destination_time,integration_distance,shared_distance,destinations_distance,taxi_private_cost,taxi_shared_cost,transit_shared_cost
6053864_1_2,10:B08,6068278_1_2_1,5,2010-06-23 16:13:25.000000,2010-06-23 16:24:13.999999,2010-06-23 16:40:42.000000,2010-06-23 16:46:22.000000,3062.157,3246.542,7746.953,15.187455840365,15.180945751676425,16.891912832218573
6014220_2_7,10:D17,6030989_1_3_0,4,2010-05-21 10:56:15.000000,2010-05-21 11:08:50.000000,2010-05-21 10:59:04.000000,2010-05-21 11:03:54.000000,1225.059,606.275,2477.3070000000002,8.6998470569925,1.9532842903881675,11.43151646027433
6066552_2_2,3:D17,6028810_1_3_1,1,2010-05-17 19:11:57.000000,2010-05-17 19:32:09.000001,2010-05-17 19:17:23.000000,2010-05-17 19:25:12.000000,741.939,1541.066,4339.4529999999995,9.05095708883,6.956989356476967,7.33051901831803
6106542_3_1,3:R08,6029282_2_1_0,5,2010-05-28 08:16:03.000003,2010-05-28 08:28:35.999998,2010-05-28 08:33:03.999999,2010-05-28 08:36:31.000000,3996.284,6920.5869999999995,1250.614,10.44456517277,2.5006486852403764,21.25551324512462
6042285_1_3,10:G11,6021321_1_4_3,1,2010-05-26 20:06:53.000000,2010-05-26 20:51:20.000000,2010-05-26 20:23:42.000001,2010-05-26 20:35:05.000000,814.197,1461.1370000000002,24064.22,39.23316345586999,15.484008636318777,34.379245551682885
6101692_3_2,10:A30,6030149_1_4_0,1,2010-05-21 17:32:10.000000,2010-05-21 17:48:43.999999,2010-05-21 17:37:53.000000,2010-05-21 17:42:09.000000,429.842,445.87199999999996,2633.375,8.083647105145,5.243720618255101,5.780728067625732
6016275_1_1,3:R15,6089960_3_5_2,1,2010-05-25 23:05:08.000000,2010-05-25 23:37:16.999999,2010-05-25 23:18:31.000001,2010-05-25 23:27:00.000001,1607.191,753.193,10567.781,21.243278420122497,12.322139026634886,15.407494675569279
6130375_1_4,11:116,6102612_1_2_0,5,2010-11-12 18:14:44.000000,2010-11-12 18:35:02.000000,2010-11-12 18:23:25.000000,2010-11-12 18:29:48.000000,330.216,3610.5759999999996,9884.238000000001,16.1884407134,0.6866887528407937,26.73794331373837
6031044_3_7,10:121,6028005_1_3_0,1,2010-05-20 22:40:45.999999,2010-05-20 23:01:07.000000,2010-05-20 22:45:13.000001,2010-05-20 22:49:11.000000,1224.839,1305.1480000000001,7637.4,15.937728544889998,3.215716342091679,16.07858222685082
6033716_1_1,4:129S,6101719_1_1_2,1,2010-11-12 08:50:39.000000,2010-11-12 09:08:18.000000,2010-11-12 08:55:54.000001,2010-11-12 09:02:30.000000,1335.858,2033.523,3736.2859999999996,8.739346058035,8.645269486273905,5.392869037368593
6008587_1_1,10:629,6035175_1_1_2,1,2010-06-03 06:04:28.000000,2010-06-03 06:09:38.000000,2010-06-03 06:08:53.000001,2010-06-03 06:17:49.000000,558.6080000000001,613.4019999999999,403.577,5.947561727869999,5.275951187168056,2.044942320607776
6031044_3_8,10:120,6101316_2_3_1,1,2010-05-20 22:42:21.000000,2010-05-20 23:04:31.000000,2010-05-20 22:49:09.000000,2010-05-20 22:55:51.000000,817.924,815.8560000000001,8658.136,15.937728544889998,2.8796777927305905,18.06806754935941
6072510_2_1,3:628,6068772_1_1_0,1,2010-06-18 09:12:26.999998,2010-06-18 09:17:45.000000,2010-06-18 09:30:02.999999,2010-06-18 09:35:41.000000,3480.341,1280.468,3406.388,11.15699809282,10.064586266329329,5.622562151388173
6030915_1_8,10:120,6101316_2_3_1,1,2010-05-20 22:42:21.000000,2010-05-20 23:04:31.000000,2010-05-20 22:49:09.000000,2010-05-20 22:55:51.000000,817.924,815.8560000000001,8658.136,15.937728544889998,2.8796777927305905,18.06806754935941
6101215_1_1,4:D16N,6043133_1_3_1,1,2010-09-24 09:05:04.999999,2010-09-24 09:16:41.000000,2010-09-24 09:07:27.000000,2010-09-24 09:10:41.000000,2502.4139999999998,511.894,2210.048,8.0831798354625,5.7306802856003465,5.3849779945896525
6016272_1_2,10:F22,6021321_2_4_1,9,2010-05-26 20:11:47.000000,2010-05-26 20:30:04.000000,2010-05-26 20:16:20.000000,2010-05-26 20:26:36.000000,6036.209,1423.122,6458.593000000001,39.73316345586999,18.368934022317738,33.266815578553924
6018706_2_1,3:G26,6068278_1_2_1,2,2010-06-23 16:14:14.999999,2010-06-23 16:29:51.000000,2010-06-23 16:25:44.000002,2010-06-23 16:31:30.000000,7905.107,5366.151,1703.58,15.187455840365,4.1550515633355865,24.214869689738574
6030915_1_7,10:121,6028005_1_3_0,1,2010-05-20 22:40:45.999999,2010-05-20 23:01:07.000000,2010-05-20 22:45:13.000001,2010-05-20 22:49:11.000000,1224.839,1305.1480000000001,7637.4,15.937728544889998,3.215716342091679,16.07858222685082
6091892_2_1,3:R16,6028436_1_2_4,1,2010-06-04 09:00:36.000001,2010-06-04 09:12:43.000001,2010-06-04 09:00:46.000000,2010-06-04 09:02:55.000001,2569.194,164.516,3240.2490000000003,8.676398068880001,2.8781512473377493,9.40196094713475
6077999_1_2,3:D15,6066642_1_3_0,1,2010-06-14 22:02:43.000000,2010-06-14 22:19:03.999999,2010-06-14 22:36:56.000001,2010-06-14 22:37:08.000000,920.55,3256.51,11259.562,7.875722543695001,0.5528465624700059,28.840159892768327
6068834_1_3,3:125,6027444_1_5_0,1,2010-06-07 21:51:54.000000,2010-06-07 22:28:22.999999,2010-06-07 22:04:44.000000,2010-06-07 22:06:16.000000,1936.239,1240.1789999999999,12679.188999999998,19.349457672612505,7.062715804625372,23.90782013836713
6056696_1_1,10:F20,6088357_1_1_4,1,2010-06-20 10:28:13.000000,2010-06-20 11:08:41.999999,2010-06-20 10:43:07.000000,2010-06-20 10:51:08.000000,2467.317,861.437,17434.326,31.556076750615002,10.585156594015519,29.382116196017808
6047479_1_3,3:D17,6021151_1_3_2,1,2010-05-31 20:09:53.000000,2010-05-31 20:57:58.000001,2010-05-31 20:35:56.999999,2010-05-31 20:53:22.000000,3959.36,18781.444,23008.775,50.172058000822496,13.492605988308366,62.82271481038081
6015891_1_1,3:D15,6031819_2_1_4,1,2010-05-17 08:55:53.000000,2010-05-17 09:12:35.000001,2010-05-17 09:00:48.000001,2010-05-17 09:11:18.000000,5448.226,1310.349,2865.36,14.946584479070001,0.7685842512520262,17.428167702627142
6045275_2_3,10:G14,6014760_1_4_2,13,2010-05-16 19:31:04.000001,2010-05-16 20:20:23.000000,2010-05-16 20:02:02.000001,2010-05-16 20:13:18.000000,3513.692,13401.278999999999,15965.855,49.97486467254001,15.254052378123946,53.88279070314272
6120112_2_1,3:A24,6029241_1_1_0,1,2010-05-25 09:28:03.000000,2010-05-25 09:43:44.999999,2010-05-25 09:30:22.999999,2010-05-25 09:35:18.000000,2559.354,287.763,11607.848,20.89170065061,16.091239170457662,9.943500972079836
6073851_1_2,3:229,6025391_2_2_4,1,2010-06-14 17:20:53.000000,2010-06-14 18:05:50.000000,2010-06-14 17:46:11.000001,2010-06-14 18:17:53.000000,1311.6760000000002,17318.868000000002,9573.428,30.9202166203275,6.636460722610593,41.86303165808608
6068157_1_6,10:629,6027450_2_5_2,1,2010-06-07 22:19:39.000001,2010-06-07 23:01:10.000000,2010-06-07 22:35:40.999999,2010-06-07 22:48:29.000000,1626.253,1880.396,7399.687,19.349457672612505,1.8160910799787688,22.88611117999457
6056214_1_3,3:D17,6068214_1_2_2,1,2010-06-18 14:20:11.000000,2010-06-18 14:39:12.999999,2010-06-18 14:29:17.000000,2010-06-18 14:32:36.000000,1866.469,1182.067,2256.22,8.804049420264997,1.3695229525680737,11.797697565288592
6016709_1_1,3:A42,6014575_1_3_2,5,2010-06-03 09:39:54.000000,2010-06-03 10:13:50.000002,2010-06-03 09:54:13.000000,2010-06-03 09:58:03.000000,3456.413,818.184,11405.546999999999,26.908074095002497,5.414353957416127,29.20770790442888
6055629_1_1,3:617,6055122_1_1_0,15,2010-06-13 08:19:10.999999,2010-06-13 08:44:53.000001,2010-06-13 08:29:44.999999,2010-06-13 08:40:44.000000,3482.715,2478.695,12296.255,36.70958801614,9.830645335602975,41.20650310023535
6077036_1_1,10:725,6068772_1_1_1,7,2010-06-18 09:06:26.999999,2010-06-18 09:19:42.000001,2010-06-18 09:09:18.000000,2010-06-18 09:17:15.000000,3836.04,934.323,2841.3759999999997,11.15699809282,0.5592850840989515,16.305313222366046
6003697_2_2,10:406,6055122_1_3_4,2,2010-06-13 17:02:41.000000,2010-06-13 17:22:22.000000,2010-06-13 17:04:40.000001,2010-06-13 17:11:18.000000,1896.614,1285.119,20509.247,27.401161498625,23.61838489303044,17.15899439376205
6106604_2_3,11:127,6102084_1_1_0,1,2010-10-08 17:10:44.000000,2010-10-08 17:50:24.000000,2010-10-08 17:33:37.000001,2010-10-08 17:40:18.999999,2887.4390000000003,4915.887,6717.055,14.928213333459999,2.4740524392253227,28.788973383318854
6041426_1_2,10:G14,6074358_2_1_0,5,2010-06-18 18:58:58.999999,2010-06-18 19:35:08.000001,2010-06-18 19:13:17.000000,2010-06-18 19:20:41.000000,3239.712,520.88,12386.438999999998,36.2797247997725,11.462359978998402,33.44925058623993
6067548_1_1,10:633,6065846_1_1_2,1,2010-06-14 07:43:37.000000,2010-06-14 08:00:33.999999,2010-06-14 07:45:56.999999,2010-06-14 07:52:24.000000,2291.8160000000003,408.287,8402.595,8.1561008291675,2.1587318312489283,18.601837899479406
6043242_1_2,10:718,6031905_1_1_2,3,2010-06-01 17:18:10.999998,2010-06-01 17:27:56.000001,2010-06-01 17:45:39.999998,2010-06-01 17:48:16.000000,4461.532,6131.084,15933.386,12.1228584166525,4.467330306655535,42.274182100786966
6014237_3_7,10:D17,6030989_1_3_0,4,2010-05-21 10:56:15.000000,2010-05-21 11:08:50.000000,2010-05-21 10:59:04.000000,2010-05-21 11:03:54.000000,1225.059,606.275,2477.3070000000002,8.6998470569925,1.9532842903881675,11.43151646027433
6065164_1_3,3:G36,6060163_2_3_4,8,2010-06-21 22:15:58.000000,2010-06-21 22:22:40.999999,2010-06-21 22:17:23.000000,2010-06-21 22:21:20.000000,1520.0710000000001,838.8389999999999,1261.698,12.695622826175,10.058761669505342,4.8996395765596565
6094305_1_2,5:R21,6102133_1_4_2,1,2010-09-28 19:27:34.000000,2010-09-28 19:56:56.999999,2010-09-28 19:45:53.000001,2010-09-28 19:56:51.000000,1202.83,1094.82,7171.358,15.1603249170825,6.0142691622779,18.18848159597543
6006005_1_1,3:629,6104081_3_1_3,1,2010-05-17 08:36:37.000000,2010-05-17 08:54:35.000001,2010-05-17 08:42:09.000000,2010-05-17 08:48:59.000000,1700.453,1140.127,2865.36,14.946584479070001,3.0461987816954172,9.250898660987918
6018421_1_2,11:M10,6128929_1_4_4,1,2010-11-12 16:11:37.000000,2010-11-12 16:21:50.000000,2010-11-12 16:12:56.000000,2010-11-12 16:19:01.000001,2375.532,691.3889999999999,2979.441,8.1505237124475,3.610387256878909,9.782197748876092
