transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_arrival_time_transit_stop,taxi_destination_time,transit_destination_time,integration_distance,shared_distance,destinations_distance
6011285_3_5,8:R43,6011285_1_5_3,1,2010-07-03 23:41:27.000001,2010-07-04 00:03:25.000000,2010-07-04 00:03:25.000000,821.625,9147.523,0.0
6011285_3_5,8:R43,6011285_1_5_3,3,2010-07-03 23:45:17.000000,2010-07-04 00:03:25.000000,2010-07-04 00:03:25.000000,1426.168,9147.523,0.0
6011285_3_5,8:R43,6011285_1_5_1,1,2010-07-03 23:38:27.000001,2010-07-04 00:03:25.000000,2010-07-04 00:03:25.000000,821.625,9147.523,0.0
6011285_3_5,8:R43,6011285_1_5_1,3,2010-07-03 23:42:17.000000,2010-07-04 00:03:25.000000,2010-07-04 00:03:25.000000,1426.168,9147.523,0.0
6011285_3_5,8:R43,6011285_1_5_4,1,2010-07-03 23:41:27.000001,2010-07-04 00:03:25.000000,2010-07-04 00:03:25.000000,821.625,9147.523,0.0
6011285_3_5,8:R43,6011285_1_5_4,3,2010-07-03 23:45:17.000000,2010-07-04 00:03:25.000000,2010-07-04 00:03:25.000000,1426.168,9147.523,0.0
6011285_3_5,8:R42,6011285_1_5_3,1,2010-07-03 23:41:55.000000,2010-07-04 00:03:01.999999,2010-07-04 00:03:01.999999,951.86,8539.286,0.0
6011285_3_5,8:R42,6011285_1_5_3,3,2010-07-03 23:42:55.000001,2010-07-04 00:03:01.999999,2010-07-04 00:03:01.999999,818.304,8539.286,0.0
6011285_3_5,8:R42,6011285_1_5_4,1,2010-07-03 23:41:55.000000,2010-07-04 00:03:01.999999,2010-07-04 00:03:01.999999,951.86,8539.286,0.0
6011285_3_5,8:R42,6011285_1_5_4,3,2010-07-03 23:42:55.000001,2010-07-04 00:03:01.999999,2010-07-04 00:03:01.999999,818.304,8539.286,0.0
6014126_1_4,10:229,6066152_1_6_4,13,2010-06-19 00:24:23.000000,2010-06-19 00:26:39.000000,2010-06-19 00:53:51.000001,316.462,780.803,14231.52
6014324_1_9,3:L08,6024161_1_1_2,6,2010-05-22 13:04:53.000000,2010-05-22 13:17:13.999998,2010-05-22 13:06:14.999999,3092.198,760.474,6899.862
6014324_1_9,3:L08,6024161_1_1_3,6,2010-05-22 13:04:53.000000,2010-05-22 13:17:13.999998,2010-05-22 13:06:14.999999,3092.198,760.474,6899.862
6015479_1_1,3:235,6016562_1_1_0,3,2010-05-22 13:17:30.999999,2010-05-22 13:19:24.000000,2010-05-22 13:41:15.000001,275.169,507.007,12832.339
6025946_1_2,10:136,6005839_3_3_1,20,2010-06-05 13:29:08.000000,2010-06-05 13:48:23.000000,2010-06-05 13:32:23.000000,2358.766,624.399,9664.245
6025946_1_2,10:137,6005839_3_3_0,20,2010-06-05 13:31:25.000000,2010-06-05 13:48:23.000000,2010-06-05 13:32:45.000000,1546.678,144.209,9664.245
6025946_1_2,10:137,6005839_3_3_3,20,2010-06-05 13:30:25.000000,2010-06-05 13:48:23.000000,2010-06-05 13:32:45.000000,1546.678,144.209,9664.245
6025946_1_2,10:137,6005839_3_3_2,20,2010-06-05 13:34:25.000000,2010-06-05 13:50:23.000000,2010-06-05 13:34:45.000000,1546.678,144.209,9664.245
6025946_1_2,10:137,6005839_3_3_4,20,2010-06-05 13:35:25.000000,2010-06-05 13:51:23.000000,2010-06-05 13:35:45.000000,1546.678,144.209,9664.245
6030582_1_4,10:121,6081235_1_2_0,1,2010-06-19 21:42:56.000000,2010-06-19 22:42:34.999998,2010-06-19 21:55:24.999999,4569.566,2972.957,47669.842
6030582_1_4,10:121,6081235_1_2_1,1,2010-06-19 21:33:56.000000,2010-06-19 22:42:34.999998,2010-06-19 21:55:24.999999,4569.566,2972.957,47669.842
6030582_1_4,10:121,6081235_1_2_2,1,2010-06-19 21:43:56.000000,2010-06-19 22:42:34.999998,2010-06-19 21:55:24.999999,4569.566,2972.957,47669.842
6030582_1_4,10:121,6081235_1_2_3,1,2010-06-19 21:39:56.000000,2010-06-19 22:42:34.999998,2010-06-19 21:55:24.999999,4569.566,2972.957,47669.842
6030582_1_4,10:121,6081235_1_2_4,1,2010-06-19 21:40:56.000000,2010-06-19 22:42:34.999998,2010-06-19 21:55:24.999999,4569.566,2972.957,47669.842
6030582_1_4,10:122,6081235_1_2_0,1,2010-06-19 21:40:35.000002,2010-06-19 22:44:34.999998,2010-06-19 21:57:33.000000,3973.263,3380.555,47669.842
6030582_1_4,10:122,6081235_1_2_0,3,2010-06-19 21:42:53.000002,2010-06-19 22:44:34.999998,2010-06-19 21:57:33.000000,4716.322,3380.555,47669.842
6030582_1_4,10:122,6081235_1_2_1,1,2010-06-19 21:31:35.000002,2010-06-19 22:44:34.999998,2010-06-19 21:57:33.000000,3973.263,3380.555,47669.842
6030582_1_4,10:122,6081235_1_2_1,3,2010-06-19 21:33:53.000002,2010-06-19 22:44:34.999998,2010-06-19 21:57:33.000000,4716.322,3380.555,47669.842
6030582_1_4,10:122,6081235_1_2_2,1,2010-06-19 21:41:35.000002,2010-06-19 22:44:34.999998,2010-06-19 21:57:33.000000,3973.263,3380.555,47669.842
6030582_1_4,10:122,6081235_1_2_2,3,2010-06-19 21:43:53.000002,2010-06-19 22:44:34.999998,2010-06-19 21:57:33.000000,4716.322,3380.555,47669.842
6030582_1_4,10:122,6081235_1_2_3,1,2010-06-19 21:37:35.000002,2010-06-19 22:44:34.999998,2010-06-19 21:57:33.000000,3973.263,3380.555,47669.842
6030582_1_4,10:122,6081235_1_2_3,3,2010-06-19 21:39:53.000002,2010-06-19 22:44:34.999998,2010-06-19 21:57:33.000000,4716.322,3380.555,47669.842
6030582_1_4,10:122,6081235_1_2_4,1,2010-06-19 21:38:35.000002,2010-06-19 22:44:34.999998,2010-06-19 21:57:33.000000,3973.263,3380.555,47669.842
6030582_1_4,10:122,6081235_1_2_4,3,2010-06-19 21:40:53.000002,2010-06-19 22:44:34.999998,2010-06-19 21:57:33.000000,4716.322,3380.555,47669.842
6030582_1_4,10:123,6081235_1_2_0,1,2010-06-19 21:43:26.999999,2010-06-19 22:50:34.999998,2010-06-19 22:03:10.000000,2875.166,4228.698,47669.842
6030582_1_4,10:123,6081235_1_2_0,3,2010-06-19 21:45:00.999999,2010-06-19 22:50:34.999998,2010-06-19 22:03:10.000000,3431.342,4228.698,47669.842
6030582_1_4,10:123,6081235_1_2_1,1,2010-06-19 21:34:26.999999,2010-06-19 22:50:34.999998,2010-06-19 22:03:10.000000,2875.166,4228.698,47669.842
6030582_1_4,10:123,6081235_1_2_1,3,2010-06-19 21:36:00.999999,2010-06-19 22:50:34.999998,2010-06-19 22:03:10.000000,3431.342,4228.698,47669.842
6030582_1_4,10:123,6081235_1_2_2,1,2010-06-19 21:44:26.999999,2010-06-19 22:50:34.999998,2010-06-19 22:03:10.000000,2875.166,4228.698,47669.842
6030582_1_4,10:123,6081235_1_2_2,3,2010-06-19 21:46:00.999999,2010-06-19 22:50:34.999998,2010-06-19 22:03:10.000000,3431.342,4228.698,47669.842
6030582_1_4,10:123,6081235_1_2_3,1,2010-06-19 21:40:26.999999,2010-06-19 22:50:34.999998,2010-06-19 22:03:10.000000,2875.166,4228.698,47669.842
6030582_1_4,10:123,6081235_1_2_3,3,2010-06-19 21:42:00.999999,2010-06-19 22:50:34.999998,2010-06-19 22:03:10.000000,3431.342,4228.698,47669.842
6030582_1_4,10:123,6081235_1_2_4,1,2010-06-19 21:41:26.999999,2010-06-19 22:50:34.999998,2010-06-19 22:03:10.000000,2875.166,4228.698,47669.842
6030582_1_4,10:123,6081235_1_2_4,3,2010-06-19 21:43:00.999999,2010-06-19 22:50:34.999998,2010-06-19 22:03:10.000000,3431.342,4228.698,47669.842
6030582_1_4,10:124,6081235_1_2_0,1,2010-06-19 21:40:35.000001,2010-06-19 22:53:34.999998,2010-06-19 22:06:44.000000,1857.603,4488.683,47669.842
6030582_1_4,10:124,6081235_1_2_0,3,2010-06-19 21:41:21.000000,2010-06-19 22:53:34.999998,2010-06-19 22:06:44.000000,2682.661,4488.683,47669.842
6030582_1_4,10:124,6081235_1_2_0,5,2010-06-19 21:47:01.000000,2010-06-19 22:53:34.999998,2010-06-19 22:06:44.000000,3738.869,4488.683,47669.842
6030582_1_4,10:124,6081235_1_2_1,1,2010-06-19 21:31:35.000001,2010-06-19 22:53:34.999998,2010-06-19 22:06:44.000000,1857.603,4488.683,47669.842
6030582_1_4,10:124,6081235_1_2_1,3,2010-06-19 21:32:21.000000,2010-06-19 22:53:34.999998,2010-06-19 22:06:44.000000,2682.661,4488.683,47669.842
6030582_1_4,10:124,6081235_1_2_1,5,2010-06-19 21:38:01.000000,2010-06-19 22:53:34.999998,2010-06-19 22:06:44.000000,3738.869,4488.683,47669.842
6030582_1_4,10:124,6081235_1_2_2,1,2010-06-19 21:41:35.000001,2010-06-19 22:53:34.999998,2010-06-19 22:06:44.000000,1857.603,4488.683,47669.842
6030582_1_4,10:124,6081235_1_2_2,3,2010-06-19 21:42:21.000000,2010-06-19 22:53:34.999998,2010-06-19 22:06:44.000000,2682.661,4488.683,47669.842
6030582_1_4,10:124,6081235_1_2_2,5,2010-06-19 21:48:01.000000,2010-06-19 22:53:34.999998,2010-06-19 22:06:44.000000,3738.869,4488.683,47669.842
6030582_1_4,10:124,6081235_1_2_3,1,2010-06-19 21:37:35.000001,2010-06-19 22:53:34.999998,2010-06-19 22:06:44.000000,1857.603,4488.683,47669.842
6030582_1_4,10:124,6081235_1_2_3,3,2010-06-19 21:38:21.000000,2010-06-19 22:53:34.999998,2010-06-19 22:06:44.000000,2682.661,4488.683,47669.842
6030582_1_4,10:124,6081235_1_2_3,5,2010-06-19 21:44:01.000000,2010-06-19 22:53:34.999998,2010-06-19 22:06:44.000000,3738.869,4488.683,47669.842
6030582_1_4,10:124,6081235_1_2_4,1,2010-06-19 21:38:35.000001,2010-06-19 22:53:34.999998,2010-06-19 22:06:44.000000,1857.603,4488.683,47669.842
6030582_1_4,10:124,6081235_1_2_4,3,2010-06-19 21:39:21.000000,2010-06-19 22:53:34.999998,2010-06-19 22:06:44.000000,2682.661,4488.683,47669.842
6030582_1_4,10:124,6081235_1_2_4,5,2010-06-19 21:45:01.000000,2010-06-19 22:53:34.999998,2010-06-19 22:06:44.000000,3738.869,4488.683,47669.842
6030582_1_4,10:125,6081235_1_2_0,1,2010-06-19 21:37:23.000000,2010-06-19 22:54:34.999998,2010-06-19 22:07:05.000002,1114.782,4301.882,47669.842
6030582_1_4,10:125,6081235_1_2_0,3,2010-06-19 21:38:09.000000,2010-06-19 22:54:34.999998,2010-06-19 22:07:05.000002,1939.84,4301.882,47669.842
6030582_1_4,10:125,6081235_1_2_0,5,2010-06-19 21:43:49.000000,2010-06-19 22:54:34.999998,2010-06-19 22:07:05.000002,2996.048,4301.882,47669.842
6030582_1_4,10:125,6081235_1_2_0,8,2010-06-19 21:47:56.999999,2010-06-19 22:54:34.999998,2010-06-19 22:07:05.000002,3742.499,4301.882,47669.842
6030582_1_4,10:125,6081235_1_2_1,1,2010-06-19 21:28:23.000000,2010-06-19 22:54:34.999998,2010-06-19 22:07:05.000002,1114.782,4301.882,47669.842
6030582_1_4,10:125,6081235_1_2_1,3,2010-06-19 21:29:09.000000,2010-06-19 22:54:34.999998,2010-06-19 22:07:05.000002,1939.84,4301.882,47669.842
6030582_1_4,10:125,6081235_1_2_1,5,2010-06-19 21:34:49.000000,2010-06-19 22:54:34.999998,2010-06-19 22:07:05.000002,2996.048,4301.882,47669.842
6030582_1_4,10:125,6081235_1_2_1,8,2010-06-19 21:38:56.999999,2010-06-19 22:54:34.999998,2010-06-19 22:07:05.000002,3742.499,4301.882,47669.842
6030582_1_4,10:125,6081235_1_2_2,1,2010-06-19 21:38:23.000000,2010-06-19 22:54:34.999998,2010-06-19 22:07:05.000002,1114.782,4301.882,47669.842
6030582_1_4,10:125,6081235_1_2_2,3,2010-06-19 21:39:09.000000,2010-06-19 22:54:34.999998,2010-06-19 22:07:05.000002,1939.84,4301.882,47669.842
6030582_1_4,10:125,6081235_1_2_2,5,2010-06-19 21:44:49.000000,2010-06-19 22:54:34.999998,2010-06-19 22:07:05.000002,2996.048,4301.882,47669.842
