sampn,hcnty,hhtaz,hhzip,lang,hhnum,hhveh,hmrac,hhinc,hhtel,hstruc,wtrip,strip,ttrips,ttrans,truse,otran,auto,subwy,mbus,EXP1_FINAL_SAT,EXP1_FINAL_SUN,EXP1_FINAL_WKD,EXP1_FINAL_WKNDAY,EXP1_FINAL_WKNTOT,EXP_HH1B_AVGDAY
6003419,"Bronx                                             ",805,"10451",1,5,2,3,1,2,4,,,3,3,1,,,,1,,,2.1200000000000000e+02,,,1.5491142857142856e+02
6003424,"Bronx                                             ",805,"10451",1,1,0,3,1,1,6,,,5,0,,,,,,,,3.4410000000000002e+02,,,2.5143878571428567e+02
6003450,"Bronx                                             ",806,"10451",1,1,0,2,2,2,4,1,,3,3,1,,,1,,,,2.8239999999999998e+02,,,2.0635371428571429e+02
6003454,"Bronx                                             ",806,"10451",1,3,0,2,2,1,4,1,,2,0,,,,,,,,2.3430000000000001e+02,,,1.7120635714285714e+02
6003458,"Bronx                                             ",806,"10451",1,1,1,5,3,3,6,,,2,0,,,,,,,,2.1200000000000000e+02,,,1.5491142857142856e+02
6003459,"Bronx                                             ",806,"10451",1,1,0,2,3,3,6,,,3,2,1,,,,1,,,2.1200000000000000e+02,,,1.5491142857142856e+02
6003462,"Bronx                                             ",806,"10451",1,2,0,5,2,2,4,1,,5,5,1,,,1,,1.4599000000000001e+03,,,7.3810000000000002e+02,1.4762700000000000e+03,2.1573608571428571e+02
6003478,"Bronx                                             ",818,"10451",2,3,0,3,1,3,2,1,1,9,6,1,,,1,1,,,2.1200000000000000e+02,,,1.5491142857142856e+02
6003484,"Bronx                                             ",819,"10451",1,4,0,2,3,3,4,,,6,0,,,,,,,,3.4410000000000002e+02,,,2.5143878571428567e+02
6003495,"Bronx                                             ",806,"10451",1,2,1,2,2,1,6,,,3,0,,,,,,,,2.1200000000000000e+02,,,1.5491142857142856e+02
6003503,"Bronx                                             ",976,"10451",1,1,0,2,2,1,4,,,0,0,,,,,,,,2.8239999999999998e+02,,,2.0635371428571429e+02
6003504,"Bronx                                             ",806,"10451",1,2,1,2,3,3,4,1,,2,0,,,,,,,,3.4410000000000002e+02,,,2.5143878571428567e+02
6003518,"Bronx                                             ",819,"10451",1,2,1,2,3,3,4,1,,3,0,,,,,,,,3.4410000000000002e+02,,,2.5143878571428567e+02
6003536,"Bronx                                             ",789,"10451",1,6,0,3,1,3,5,,,2,2,1,,,,1,,,3.4410000000000002e+02,,,2.5143878571428567e+02
6003556,"Bronx                                             ",767,"10451",1,5,0,2,2,3,3,1,,4,6,1,,,1,1,1.4344000000000001e+03,,2.1200000000000000e+02,6.2700000000000000e+02,1.2539800000000000e+03,1.5491142857142856e+02
6003567,"Bronx                                             ",789,"10451",1,2,0,2,1,3,5,,,2,2,1,,,,1,,1.6720000000000000e+03,,1.0178000000000000e+03,2.0356800000000001e+03,2.9748840000000001e+02
6003586,"Bronx                                             ",766,"10451",1,2,0,2,2,3,4,1,,3,3,1,,,,1,,,2.7219999999999999e+02,,,1.9890042857142853e+02
