"Value","Label"
1000,"South Ferry (1)"
1001,"Rector St (1)"
1003,"Chambers St (1,2,3)"
1004,"Franklin St (1)"
1005,"Canal St (1)"
1006,"Houston St (1)"
1007,"Christopher St-Sheridan Sq (1)"
1008,"14 St (F,V,1,2,3)/6 Av (L)"
1009,"18 St (1)"
1010,"23 St (1)"
1011,"28 St (1)"
1012,"34 St-Penn Station (1,2,3)"
1013,"Times Sq-42 St (N,Q,R,S,W,1,2,3,7)/42"
1014,"50 St (1)"
1015,"59 St-Columbus Circle (A,B,C,D,1)"
1016,"66 St-Lincoln Center (1)"
1017,"72 St (1,2,3)"
1018,"79 St (1)"
1019,"86 St (1)"
1020,"96 St (1,2,3)"
1021,"103 St (1)"
1022,"Cathedral Pkwy-110 St (1)"
1023,"116 St-Columbia University (1)"
1024,"125 St (1)"
1025,"137 St-City College (1)"
1026,"145 St (1)"
1027,"157 St (1)"
1028,"168 St (A,C,1)"
1029,"181 St (1)"
1030,"191 St (1)"
1031,"Dyckman St (1)"
1032,"207 St (1)"
1033,"215 St (1)"
1034,"Marble Hill-225 St (1)"
1035,"231 St (1)"
1036,"238 St (1)"
1037,"Van Cortlandt Park-242 St (1)"
1038,"Central Park North-110 St (2,3)"
1039,"116 St (2,3)"
1040,"125 St (2,3)"
1041,"135 St (2,3)"
1042,"145 St (3)"
1043,"Harlem-148 St (3)"
1044,"149 St-Grand Concourse (2,4,5)"
1045,"3 Av-149 St (2,5)"
1046,"Jackson Av (2,5)"
1047,"Prospect Av (2,5)"
1048,"Intervale Av (2,5)"
1049,"Simpson St (2,5)"
1050,"Freeman St (2,5)"
1051,"174 St (2,5)"
1052,"West Farms Sq-East Tremont Av (2,5)"
1053,"East 180 St (2,5)"
1054,"Bronx Park East (2,5)"
1055,"Pelham Pkwy (2,5)"
1056,"Allerton Av (2,5)"
1057,"Burke Av (2,5)"
1058,"Gun Hill Rd (2,5)"
1059,"219 St (2,5)"
1060,"225 St (2,5)"
1061,"233 St (2,5)"
1062,"Nereid Av (2,5)"
1063,"Wakefield-241 St (2)"
1064,"Morris Park (5)"
1065,"Pelham Pkwy (5)"
1066,"Gun Hill Rd (5)"
1067,"Baychester Av (5)"
1068,"Eastchester-Dyre Av (5)"
1069,"Chambers St (A,C)/WTC (E)/Park Place"
1070,"Fulton St (J,M,Z,2,3,4,5)/Broadway-Nassau"
1071,"Wall St (2,3)"
1072,"Clark St (2,3)"
1073,"Court St (M,R)/Borough Hall (2,3,4,5)"
1074,"Hoyt St (2,3)"
1075,"Nevins St (2,3,4,5)"
1076,"Atlantic Av (B,Q,2,3,4,5)/Pacific St"
1077,"Bergen St (2,3)"
1078,"Grand Army Plaza (2,3)"
1079,"Eastern Pkwy-Brooklyn Museum (2,3)"
1080,"Franklin Av (2,3,4,5)/Botanic Garden"
1081,"Nostrand Av (3)"
1082,"Kingston Av (3)"
1083,"Crown Heights-Utica Av (3,4)"
1084,"Sutter Av-Rutland Rd (3)"
1085,"Saratoga Av (3)"
1086,"Rockaway Av (3)"
1087,"Junius St (3)"
1088,"Pennsylvania Av (3)"
1089,"Van Siclen Av (3)"
1090,"New Lots Av (3)"
1091,"President St (2,5)"
1092,"Sterling St (2,5)"
1093,"Winthrop St (2,5)"
1094,"Church Av (2,5)"
1095,"Beverly Rd (2,5)"
1096,"Newkirk Av (2,5)"
1097,"Brooklyn College-Flatbush Av (2,5)"
1098,"Grand Central-42 St (S,4,5,6,7)"
1101,"Bowling Green (4,5)"
1102,"Wall St (4,5)"
1104,"Brooklyn Bridge-City Hall (4,5,6)/Cham"
1105,"Canal St (J,M,N,Q,R,W,Z,6)"
1106,"Spring St (6)"
1107,"Broadway-Lafayette St (B,D,F,V)/Bleecker"
1108,"Astor Place (6)"
1109,"14 St-Union Sq (L,N,Q,R,W,4,5,6)"
1110,"23 St (6)"
1111,"28 St (6)"
1112,"33 St (6)"
1114,"Lexington Av-53 St (E,V)/51 St (6)"
1115,"Lexington Av (N,R,W)/59 St (4,5,6)"
1116,"68 St-Hunter College (6)"
1117,"77 St (6)"
1118,"86 St (4,5,6)"
1119,"96 St (6)"
1120,"103 St (6)"
1121,"110 St (6)"
1122,"116 St (6)"
1123,"125 St (4,5,6)"
1124,"138 St-Grand Concourse (4,5)"
1126,"161 St-Yankee Stadium (B,D,4)"
1127,"167 St (4)"
1128,"170 St (4)"
1129,"Mt Eden Av (4)"
1130,"176 St (4)"
1131,"Burnside Av (4)"
1132,"183 St (4)"
1133,"Fordham Rd (4)"
1134,"Kingsbridge Rd (4)"
1135,"Bedford Park Blvd-Lehman College (4)"
1136,"Mosholu Pkwy (4)"
1137,"Woodlawn (4)"
1138,"3 Av-138 St (6)"
1139,"Brook Av (6)"
1140,"Cypress Av (6)"
1141,"East 143 St-St Mary's St (6)"
1142,"East 149 St (6)"
1143,"Longwood Av (6)"
1144,"Hunts Point Av (6)"
1145,"Whitlock Av (6)"
1146,"Elder Av (6)"
1147,"Morrison-Sound View Avs (6)"
1148,"St Lawrence Av (6)"
1149,"Parkchester (6)"
1150,"Castle Hill Av (6)"
1151,"Zerega Av (6)"
1152,"Westchester Sq-East Tremont Av (6)"
1153,"Middletown Rd (6)"
1154,"Buhre Av (6)"
1155,"Pelham Bay Park (6)"
1157,"42 St-Bryant Pk (B,D,F,V)/5 Av (7)"
1159,"Vernon Blvd-Jackson Av (7)"
1160,"Hunters Point Av (7)"
1161,"45 Rd-Court House Sq (7)"
1162,"Queensboro Plaza (N,W,7)"
1163,"33 St-Rawson St (7)"
1164,"40 St-Lowery St (7)"
1165,"46 St-Bliss St (7)"
1166,"52 St (7)"
1167,"Woodside-61 St (7)"
1168,"69 St (7)"
1169,"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,G,R,V)"
1170,"82 St-Jackson Hts (7)"
1171,"90 St-Elmhurst Av (7)"
1172,"Junction Blvd (7)"
1173,"103 St-Corona Plaza (7)"
1174,"111 St (7)"
1175,"Willets Point-Shea Stadium (7)"
1176,"Flushing-Main St (7)"
1178,"Canal St (A,C,E)"
1179,"Spring St (C,E)"
1180,"West 4 St (A,B,C,D,E,F,V)"
1181,"14 St (A,C,E)/8 Av (L)"
1182,"23 St (C,E)"
1183,"34 St-Penn Station (A,C,E)"
1185,"50 St (C,E)"
1187,"72 St (B,C)"
1188,"81 St-Museum of Natural History (B,C)"
1189,"86 St (B,C)"
1190,"96 St (B,C)"
1191,"103 St (B,C)"
1192,"Cathedral Pkwy-110 St (B,C)"
1193,"116 St (B,C)"
1194,"125 St (A,B,C,D)"
1195,"135 St (B,C)"
1196,"145 St (A,B,C,D)"
1197,"155 St (C)"
1198,"163 St-Amsterdam Av (C)"
1200,"175 St (A)"
1201,"181 St (A)"
1202,"190 St (A)"
1203,"Dyckman St (A)"
1204,"Inwood-207 St (A)"
1205,"155 St (B,D)"
1207,"167 St (B,D)"
1208,"170 St (B,D)"
1209,"174-175 Sts (B,D)"
1210,"Tremont Av (B,D)"
1211,"182-183 Sts (B,D)"
1212,"Fordham Rd (B,D)"
1213,"Kingsbridge Rd (B,D)"
1214,"Bedford Park Blvd (B,D)"
1215,"Norwood-205 St (D)"
1218,"High St (A,C)"
1219,"Jay St-Borough Hall (A,C,F)"
1220,"Hoyt-Schermerhorn Sts (A,C,G)"
1221,"Lafayette Av (C)"
1222,"Clinton-Washington Avs (C)"
1223,"Franklin Av (C,S)"
1224,"Nostrand Av (A,C)"
1225,"Kingston-Throop Avs (C)"
1226,"Utica Av (A,C)"
1227,"Ralph Av (C)"
1228,"Rockaway Av (C)"
1229,"Broadway Junction (A,C,J,L,Z)"
1230,"Liberty Av (C)"
1231,"Van Siclen Av (C)"
1232,"Shepherd Av (C)"
1233,"Euclid Av (A,C)"
1234,"Grant Av (A)"
1235,"80 St (A)"
1236,"88 St (A)"
1237,"Rockaway Blvd (A)"
1238,"104 St (A)"
1239,"111 St (A)"
1240,"Ozone Park-Lefferts Blvd (A)"
1241,"Aqueduct-North Conduit Av (A)"
1242,"Howard Beach-JFK Airport (A)"
1243,"Broad Channel (A,S)"
1244,"Beach 67 St (A)"
1245,"Beach 60 St (A)"
1246,"Beach 44 St (A)"
1247,"Beach 36 St (A)"
1248,"Beach 25 St (A)"
1249,"Far Rockaway-Mott Av (A)"
1250,"Beach 90 St (A,S)"
1251,"Beach 98 St (A,S)"
1252,"Beach 105 St (A,S)"
1253,"Rockaway Park-Beach 116 St (A,S)"
1254,"7 Av (B,D,E)"
1255,"5 Av-53 St (E,V)"
1257,"23 St-Ely Av (E,V)/Long Island City-Court Sq (G)"
1258,"Queens Plaza (E,G,R,V)"
1259,"36 St (G,R,V)"
1260,"Steinway St (G,R,V)"
1261,"46 St (G,R,V)"
1262,"Northern Blvd (G,R,V)"
1263,"65 St (G,R,V)"
1265,"Elmhurst Av (G,R,V)"
1266,"Grand Av-Newtown (G,R,V)"
1267,"Woodhaven Blvd (G,R,V)"
1268,"63 Dr-Rego Park (G,R,V)"
1269,"67 Av (G,R,V)"
1270,"Forest Hills-71 Av (E,F,G,R,V)"
1271,"75 Av (E,F)"
1272,"Kew Gardens-Union Turnpike (E,F)"
1273,"Briarwood-Van Wyck Blvd (E,F)"
1274,"Sutphin Blvd (F)"
1275,"Parsons Blvd (F)"
1276,"169 St (F)"
1277,"Jamaica-179 St (F)"
1278,"Jamaica-Van Wyck (E)"
1279,"Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)"
1280,"Jamaica Center-Parsons-Archer (E,J,Z)"
1281,"Fulton St (G)"
1282,"Clinton-Washington Avs (G)"
1283,"Classon Av (G)"
1284,"Bedford-Nostrand Avs (G)"
1285,"Myrtle-Willoughby Avs (G)"
1286,"Flushing Av (G)"
1287,"Broadway (G)"
1288,"Lorimer St (L)/Metropolitan Av (G)"
1289,"Nassau Av (G)"
1290,"Greenpoint Av (G)"
1291,"21 St (G)"
1293,"Grand St (B,D)"
1296,"23 St (F,V)"
1297,"34 St-Herald Sq (B,D,F,N,Q,R,V,W)"
1299,"47-50 Sts-Rockefeller Center (B,D,F,V)"
1300,"57 St (F)"
1301,"Lexington Av-63 St (F)"
1302,"Roosevelt Island (F)"
1303,"21 St-Queensbridge (F)"
1304,"Lower East Side-2 Av (F,V)"
1305,"Delancey St (F)/Essex St (J,M,Z)"
1306,"East Broadway (F)"
1307,"York St (F)"
1308,"Broad St (J,M,Z)"
1312,"Bowery (J,M,Z)"
1314,"Marcy Av (J,M,Z)"
1315,"Hewes St (J,M)"
1316,"Lorimer St (J,M)"
1317,"Flushing Av (J,M)"
1318,"Myrtle Av (J,M,Z)"
1319,"Kosciuszko St (J)"
1320,"Gates Av (J,Z)"
1321,"Halsey St (J)"
1322,"Chauncey St (J,Z)"
1324,"Alabama Av (J)"
1325,"Van Siclen Av (J,Z)"
1326,"Cleveland St (J)"
1327,"Norwood Av (J,Z)"
1328,"Crescent St (J,Z)"
1329,"Cypress Hills (J)"
1330,"75 St (J,Z)"
1331,"85 St-Forest Pkwy (J)"
1332,"Woodhaven Blvd (J,Z)"
1333,"104 St (J,Z)"
1334,"111 St (J)"
1335,"121 St (J,Z)"
1336,"Central Av (M)"
1337,"Knickerbocker Av (M)"
1338,"Myrtle-Wyckoff Avs (L,M)"
1339,"Seneca Av (M)"
1340,"Forest Av (M)"
1341,"Fresh Pond Rd (M)"
1342,"Middle Village-Metropolitan Av (M)"
1343,"Bergen St (F,G)"
1344,"Carroll St (F,G)"
1345,"Smith-9 Sts (F,G)"
1346,"4 Av (F)/9 St (M,R)"
1347,"7 Av (F)"
1348,"15 St-Prospect Park (F)"
1349,"Fort Hamilton Pkwy (F)"
1350,"Church Av (F)"
1351,"Ditmas Av (F)"
1352,"18 Av (F)"
1353,"Avenue I (F)"
1354,"Bay Pkwy (F)"
1355,"Avenue N (F)"
1356,"Avenue P (F)"
1357,"Kings Hwy (F)"
1358,"Avenue U (F)"
1359,"Avenue X (F)"
1360,"Neptune Av (F)"
1361,"39 Av (N,W)"
1362,"36 Av (N,W)"
1363,"Broadway (N,W)"
1364,"30 Av (N,W)"
1365,"Astoria Blvd (N,W)"
1366,"Astoria-Ditmars Blvd (N,W)"
1368,"5 Av-59 St (N,R,W)"
1369,"57 St-7 Av (N,Q,R,W)"
1370,"49 St (N,R,W)"
1373,"28 St (N,R,W)"
1374,"23 St (N,R,W)"
1376,"8 St-New York University (N,R,W)"
1377,"Prince St (N,R,W)"
1379,"City Hall (R,W)"
1381,"Rector St (R,W)"
1382,"Whitehall St-South Ferry (R,W)"
1384,"Lawrence St (M,R)"
1386,"DeKalb Av (B,M,Q,R)"
1388,"7 Av (B,Q)"
