id,sampn,perno,tripno,MODE_G10,NSUB,StopAreaNo,date_time_origin,lon_origin,lat_origin,date_time_destination,lon_destination,lat_destination
0,6003462,1,1,1,1,1126.0,2008-10-04 08:00:00,,,2008-10-04 08:20:00,-73.9385707903,40.8028068957
1,6003462,1,2,1,2,1123.0,2008-10-11 09:00:00,-73.9385707903,40.8028068957,2008-10-11 09:50:00,-73.8340707605,40.7150567314
2,6003462,1,3,1,2,1272.0,2008-10-11 11:00:00,-73.8340707605,40.7150567314,2008-10-11 12:15:00,,
3,6003462,2,1,1,1,1126.0,2008-10-11 08:05:00,,,2008-10-11 08:35:00,-73.9463243658,40.7851816359
4,6003462,2,2,1,1,1119.0,2008-10-11 16:45:00,-73.9463243658,40.7851816359,2008-10-11 17:10:00,,
5,6003556,2,1,2,1,1035.0,2008-09-06 07:00:00,-73.8906959936,40.8838083299,2008-09-06 07:55:00,-73.9683306425,40.8031557492
6,6003556,2,2,2,1,1022.0,2008-09-06 14:00:00,-73.9683306425,40.8031557492,2008-09-06 15:05:00,-73.9157734698,40.821866052
7,6003647,1,1,3,0,,2008-05-31 16:00:00,-73.8736284579,40.7743760553,2008-05-31 17:15:00,-73.9216589327,40.8174004387
8,6003647,1,2,1,1,1045.0,2008-05-31 18:15:00,-73.9216589327,40.8174004387,2008-05-31 19:15:00,-73.965558675,40.7824729194
9,6003647,1,3,1,1,1018.0,2008-05-31 21:15:00,-73.965558675,40.7824729194,2008-05-31 22:00:00,-73.9216589327,40.8174004387
10,6003701,1,1,3,0,,2008-06-07 07:30:00,-73.9204058524,40.8430772852,2008-06-07 08:15:00,,
11,6003701,1,2,3,0,,2008-06-07 10:30:00,,,2008-06-07 11:30:00,-73.9204058524,40.8430772852
12,6003768,1,1,1,1,1128.0,2008-06-07 08:00:00,-73.923503686,40.840465631,2008-06-07 09:00:00,-73.9872969674,40.7417915307
