id,sampn,perno,tripno,MODE_G10,NSUB,StopAreaNo,date_time_origin,lon_origin,lat_origin,date_time_destination,lon_destination,lat_destination
0,6003672,1,3,3,0,,2008-06-01 18:00:00,-73.9506567209,40.8057838051,2008-06-01 19:15:00,,
1,6003672,1,4,3,0,,2008-06-01 19:30:00,,,2008-06-01 20:05:00,-73.9571850756,40.8174103767
2,6003672,1,5,3,0,,2008-06-01 21:30:00,-73.9571850756,40.8174103767,2008-06-01 22:20:00,,
3,6003697,1,1,10,0,,2008-06-08 13:00:00,,,2008-06-08 13:25:00,,
4,6003697,1,2,9,0,,2008-06-08 23:20:00,,,2008-06-08 23:40:00,,
5,6003697,2,1,2,1,1044.0,2008-06-08 08:00:00,,,2008-06-08 08:51:00,-73.9543847583,40.8006748184
6,6004164,1,1,3,0,,2008-05-11 16:30:00,-73.9028783371,40.858899812,2008-05-11 17:30:00,-73.8666721626,40.8745405771
7,6004164,1,2,2,1,1215.0,2008-05-11 20:45:00,-73.8666721626,40.8745405771,2008-05-11 22:00:00,-73.9028783371,40.858899812
8,6004183,1,1,7,0,,2008-05-04 13:00:00,-73.9115381988,40.8524246519,2008-05-04 13:45:00,,
9,6004183,1,2,8,0,,2008-05-04 14:30:00,,,2008-05-04 15:30:00,-73.9115381988,40.8524246519
10,6004203,1,1,1,1,1115.0,2008-09-14 15:08:00,-73.9585256312,40.7684672799,2008-09-14 17:45:00,-73.9061882147,40.8531461936
11,6004391,1,1,2,1,1029.0,2008-05-04 06:30:00,,,2008-05-04 08:00:00,-73.9399227377,40.8403259776
12,6004391,1,2,1,1,1028.0,2008-05-04 16:00:00,-73.9399227377,40.8403259776,2008-05-04 16:30:00,-73.9987713679,40.7398054065
13,6004391,1,3,1,1,1109.0,2008-05-04 17:00:00,-73.9987713679,40.7398054065,2008-05-04 18:20:00,-73.9704938412,40.7648407459
14,6004391,1,4,9,0,,2008-05-04 18:40:00,-73.9704938412,40.7648407459,2008-05-04 18:50:00,-73.9688865216,40.7612304683
15,6004391,1,5,9,0,,2008-05-04 19:10:00,-73.9688865216,40.7612304683,2008-05-04 19:20:00,-73.9672788763,40.7634825773
16,6004391,1,6,2,1,1115.0,2008-05-04 20:15:00,-73.9688865216,40.7612304683,2008-05-04 22:20:00,,
17,6004738,1,1,3,0,,2008-06-15 10:00:00,-73.9128359377,40.818216964,2008-06-15 11:00:00,-73.878213142,40.8215990776
18,6004738,1,2,3,0,,2008-06-15 18:00:00,-73.878213142,40.8215990776,2008-06-15 19:30:00,-73.9128359377,40.818216964
19,6004876,1,1,1,1,1012.0,2008-05-11 07:00:00,,,2008-05-11 11:30:00,-73.9170493625,40.8136164305
20,6005091,1,1,3,0,,2008-05-18 06:30:00,,,2008-05-18 06:45:00,-73.9071864451,40.846134718
21,6005091,1,2,3,0,,2008-05-18 16:00:00,-73.9071864451,40.846134718,2008-05-18 16:20:00,,
22,6005270,1,1,1,2,1131.0,2008-10-05 06:30:00,-73.9115381988,40.8524246519,2008-10-05 07:30:00,-73.9389997288,40.81376041
23,6005270,1,2,1,2,1041.0,2008-10-05 16:00:00,-73.9389997288,40.81376041,2008-10-05 17:00:00,-73.9115381988,40.8524246519
24,6005270,1,3,1,1,1131.0,2008-10-05 18:00:00,-73.9115381988,40.8524246519,2008-10-05 18:30:00,,
25,6005270,1,4,1,1,1126.0,2008-10-05 19:30:00,,,2008-10-05 20:30:00,-73.9115381988,40.8524246519
26,6005352,1,1,10,0,,2008-05-04 09:30:00,-73.9070268804,40.83151458,2008-05-04 09:45:00,,
27,6005352,1,2,9,0,,2008-05-04 12:30:00,,,2008-05-04 12:50:00,-73.9070268804,40.83151458
28,6005394,1,1,1,2,1211.0,2008-05-11 12:00:00,,,2008-05-11 13:00:00,-73.9642513905,40.7973300719
29,6005394,1,2,1,2,1191.0,2008-05-11 22:00:00,-73.9642513905,40.7973300719,2008-05-11 23:30:00,,
30,6005475,1,1,3,0,,2008-05-18 15:00:00,-73.9035021538,40.8512365467,2008-05-18 15:15:00,-73.9110459466,40.8468252074
31,6005475,1,2,9,0,,2008-05-18 18:30:00,-73.9110459466,40.8468252074,2008-05-18 18:40:00,-73.9110459466,40.8468252074
32,6005475,1,3,9,0,,2008-05-18 18:50:00,-73.9110459466,40.8468252074,2008-05-18 18:55:00,-73.9110459466,40.8468252074
33,6005475,1,4,7,0,,2008-05-18 21:55:00,-73.9110459466,40.8468252074,2008-05-18 22:15:00,-73.9035021538,40.8512365467
34,6005523,1,1,7,0,,2008-05-04 09:30:00,-73.8873809866,40.847222869,2008-05-04 09:45:00,-73.8795705516,40.842279958
35,6005523,1,2,3,0,,2008-05-04 13:10:00,-73.8795705516,40.842279958,2008-05-04 13:45:00,-73.8873809866,40.847222869
36,6005576,1,1,2,1,0.0,2008-05-18 10:00:00,,,2008-05-18 12:00:00,-73.898789013,40.8515610299
37,6005576,1,2,2,1,0.0,2008-05-18 17:00:00,-73.898789013,40.8515610299,2008-05-18 18:00:00,,
38,6005629,1,1,3,0,,2008-06-01 11:00:00,-73.9047405192,40.8481883291,2008-06-01 11:45:00,,
39,6005629,1,2,3,0,,2008-06-01 18:00:00,,,2008-06-01 19:20:00,-73.9047405192,40.8481883291
40,6005666,1,1,3,0,,2008-05-18 16:00:00,-73.8928911137,40.842571752,2008-05-18 17:00:00,-73.8987334242,40.8226300447
41,6005666,1,2,3,0,,2008-05-18 18:00:00,-73.8987334242,40.8226300447,2008-05-18 18:45:00,-73.8928911137,40.842571752
42,6005909,1,1,1,1,1213.0,2008-05-11 14:00:00,-73.8921990287,40.867847264,2008-05-11 14:45:00,-73.9487875193,40.8083402095
43,6005909,1,2,1,1,1194.0,2008-05-11 17:00:00,-73.9487875193,40.8083402095,2008-05-11 17:50:00,-73.8921990287,40.867847264
44,6005956,1,1,8,0,,2008-05-04 13:30:00,,,2008-05-04 14:15:00,-73.965558675,40.7824729194
45,6005956,1,2,8,0,,2008-05-04 14:30:00,-73.965558675,40.7824729194,2008-05-04 14:35:00,-73.9776728852,40.760778986
46,6005956,1,3,8,0,,2008-05-04 18:30:00,-73.9776728852,40.760778986,2008-05-04 18:45:00,-73.965558675,40.7824729194
47,6005956,1,4,8,0,,2008-05-04 18:55:00,-73.965558675,40.7824729194,2008-05-04 19:10:00,-73.9614251872,40.7772710873
48,6005956,1,5,8,0,,2008-05-04 20:15:00,-73.9614251872,40.7772710873,2008-05-04 20:40:00,,
49,6005986,1,1,3,0,,2008-06-15 14:00:00,-73.8936546222,40.8635138451,2008-06-15 14:45:00,,
50,6005986,1,2,3,0,,2008-06-15 19:00:00,,,2008-06-15 19:40:00,-73.8936546222,40.8635138451
51,6005993,1,1,3,0,,2008-05-11 09:30:00,-73.8936546222,40.8635138451,2008-05-11 10:15:00,-73.9035021538,40.8512365467
52,6005993,1,2,3,0,,2008-05-11 14:30:00,-73.9035021538,40.8512365467,2008-05-11 15:15:00,-73.8936546222,40.8635138451
53,6006129,1,1,7,0,,2008-05-04 10:30:00,,,2008-05-04 14:00:00,-73.9904586232,40.7374347364
54,6006129,1,2,8,0,,2008-05-04 15:00:00,-73.9904586232,40.7374347364,2008-05-04 15:45:00,,
55,6006140,2,1,2,1,1212.0,2008-05-18 15:30:00,,,2008-05-18 17:00:00,-73.9550035596,40.8115579131
56,6006140,2,2,2,1,,2008-05-18 17:15:00,-73.9550035596,40.8115579131,2008-05-18 19:31:00,,
57,6006413,1,1,1,1,1048.0,2008-06-01 07:10:00,-73.8972730947,40.8196743344,2008-06-01 07:45:00,-73.9387834149,40.8082913089
58,6006413,1,2,9,0,,2008-06-01 12:00:00,-73.9387834149,40.8082913089,2008-06-01 12:10:00,-73.9389997288,40.81376041
59,6006413,1,3,9,0,,2008-06-01 12:30:00,-73.9389997288,40.81376041,2008-06-01 12:40:00,-73.9387834149,40.8082913089
60,6006413,1,4,3,0,,2008-06-01 18:00:00,-73.9387834149,40.8082913089,2008-06-01 18:30:00,,
61,6006413,1,5,3,0,,2008-06-01 19:30:00,,,2008-06-01 20:15:00,-73.9216589327,40.8174004387
62,6006413,1,6,3,0,,2008-06-01 21:00:00,-73.9216589327,40.8174004387,2008-06-01 21:20:00,-73.8972730947,40.8196743344
63,6006487,1,1,3,0,,2008-05-18 08:30:00,-73.8857897643,40.8454012813,2008-05-18 09:15:00,,
64,6006487,1,2,3,0,,2008-05-18 15:00:00,,,2008-05-18 15:45:00,-73.8857897643,40.8454012813
65,6006489,1,1,10,0,,2008-06-22 16:00:00,-73.8827587292,40.8445408152,2008-06-22 16:45:00,-73.8854426836,40.8618853693
66,6006489,1,2,9,0,,2008-06-22 17:55:00,-73.8854426836,40.8618853693,2008-06-22 18:00:00,-73.8685022241,40.8550319873
67,6006489,1,3,9,0,,2008-06-22 22:00:00,-73.8685022241,40.8550319873,2008-06-22 22:30:00,-73.8827587292,40.8445408152
68,6006588,1,1,3,0,,2008-05-11 10:30:00,-73.8451998796,40.8858632233,2008-05-11 12:45:00,-73.8854426836,40.8618853693
69,6006588,1,2,7,0,,2008-05-11 17:00:00,-73.8854426836,40.8618853693,2008-05-11 17:35:00,-73.8451998796,40.8858632233
